"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","C. Parkinson","TE","SEA","TB","2022-11-13T14:30:00Z","7.5","over","-110","undefined","null","null","under","-120","undefined","null","null"
"recv_rec","D. Metcalf","WR","SEA","TB","2022-11-13T14:30:00Z","4.5","over","-149","undefined","null","null","under","111","undefined","null","null"
"recv_yd","D. Metcalf","WR","SEA","TB","2022-11-13T14:30:00Z","60.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"pass_att","G. Smith","QB","SEA","TB","2022-11-13T14:30:00Z","33.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"pass_comp","G. Smith","QB","SEA","TB","2022-11-13T14:30:00Z","22.5","over","-102","undefined","null","null","under","-132","undefined","null","null"
"pass_int","G. Smith","QB","SEA","TB","2022-11-13T14:30:00Z","0.5","over","-102","undefined","null","null","under","-131","undefined","null","null"
"pass_td","G. Smith","QB","SEA","TB","2022-11-13T14:30:00Z","1.5","over","-102","undefined","null","null","under","-132","undefined","null","null"
"pass_yd","G. Smith","QB","SEA","TB","2022-11-13T14:30:00Z","239.5","over","-102","0.007499009900989839","null","null","under","-135","-0.08692553191489344","null","null"
"rush_yd","G. Smith","QB","SEA","TB","2022-11-13T14:30:00Z","21.5","over","-110","undefined","null","null","under","-123","undefined","null","null"
"recv_rec","K. Walker III","RB","SEA","TB","2022-11-13T14:30:00Z","1.5","over","-164","undefined","null","null","under","120","undefined","null","null"
"recv_yd","K. Walker III","RB","SEA","TB","2022-11-13T14:30:00Z","10.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"rush_att","K. Walker III","RB","SEA","TB","2022-11-13T14:30:00Z","18.5","over","-119","undefined","null","null","under","-112","undefined","null","null"
"rush_recv_yd","K. Walker III","RB","SEA","TB","2022-11-13T14:30:00Z","93.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"rush_yd","K. Walker III","RB","SEA","TB","2022-11-13T14:30:00Z","78.5","over","-122","undefined","null","null","under","-109","undefined","null","null"
"recv_yd","M. Goodwin","WR","SEA","TB","2022-11-13T14:30:00Z","18.5","over","-115","undefined","null","null","under","-118","undefined","null","null"
"recv_rec","N. Fant","TE","SEA","TB","2022-11-13T14:30:00Z","2.5","over","-185","undefined","null","null","under","136","undefined","null","null"
"recv_yd","N. Fant","TE","SEA","TB","2022-11-13T14:30:00Z","27.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_rec","T. Lockett","WR","SEA","TB","2022-11-13T14:30:00Z","5.5","over","109","undefined","null","null","under","-146","undefined","null","null"
"recv_yd","T. Lockett","WR","SEA","TB","2022-11-13T14:30:00Z","59.5","over","-123","undefined","null","null","under","-110","undefined","null","null"
"recv_rec","W. Dissly","TE","SEA","TB","2022-11-13T14:30:00Z","2.5","over","-109","undefined","null","null","under","-124","undefined","null","null"
"recv_yd","W. Dissly","TE","SEA","TB","2022-11-13T14:30:00Z","21.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_rec","C. Godwin","WR","TB","SEA","2022-11-13T14:30:00Z","6.5","over","-104","undefined","null","null","under","-129","undefined","null","null"
"recv_yd","C. Godwin","WR","TB","SEA","2022-11-13T14:30:00Z","64.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_rec","J. Jones","WR","TB","SEA","2022-11-13T14:30:00Z","2.5","over","141","undefined","null","null","under","-191","undefined","null","null"
"recv_yd","J. Jones","WR","TB","SEA","2022-11-13T14:30:00Z","23.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_rec","L. Fournette","RB","TB","SEA","2022-11-13T14:30:00Z","3.5","over","-116","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","L. Fournette","RB","TB","SEA","2022-11-13T14:30:00Z","24.5","over","-117","undefined","null","null","under","-114","undefined","null","null"
"rush_recv_yd","L. Fournette","RB","TB","SEA","2022-11-13T14:30:00Z","72.5","over","-118","undefined","null","null","under","-116","undefined","null","null"
"rush_yd","L. Fournette","RB","TB","SEA","2022-11-13T14:30:00Z","43.5","over","-104","undefined","null","null","under","-131","undefined","null","null"
"recv_rec","M. Evans","WR","TB","SEA","2022-11-13T14:30:00Z","5.5","over","119","undefined","null","null","under","-161","undefined","null","null"
"recv_yd","M. Evans","WR","TB","SEA","2022-11-13T14:30:00Z","67.5","over","-111","undefined","null","null","under","-123","undefined","null","null"
"recv_rec","R. White","RB","TB","SEA","2022-11-13T14:30:00Z","2.5","over","108","undefined","null","null","under","-145","undefined","null","null"
"recv_yd","R. White","RB","TB","SEA","2022-11-13T14:30:00Z","16.5","over","-105","undefined","null","null","under","-128","undefined","null","null"
"rush_recv_yd","R. White","RB","TB","SEA","2022-11-13T14:30:00Z","47.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"rush_yd","R. White","RB","TB","SEA","2022-11-13T14:30:00Z","27.5","over","-121","undefined","null","null","under","-112","undefined","null","null"
"pass_att","T. Brady","QB","TB","SEA","2022-11-13T14:30:00Z","40.5","over","-114","undefined","null","null","under","-117","undefined","null","null"
"pass_comp","T. Brady","QB","TB","SEA","2022-11-13T14:30:00Z","26.5","over","-113","undefined","null","null","under","-118","undefined","null","null"
"pass_int","T. Brady","QB","TB","SEA","2022-11-13T14:30:00Z","0.5","over","111","undefined","null","null","under","-150","undefined","null","null"
"pass_td","T. Brady","QB","TB","SEA","2022-11-13T14:30:00Z","1.5","over","-155","undefined","null","null","under","117","undefined","null","null"
"pass_yd","T. Brady","QB","TB","SEA","2022-11-13T14:30:00Z","286.5","over","110","0.036535287985714704","null","null","under","-148","-0.10945004224596816","null","null"
"rush_yd","T. Brady","QB","TB","SEA","2022-11-13T14:30:00Z","0.5","over","189","undefined","null","null","under","-266","undefined","null","null"
"recv_rec","C. Sutton","WR","DEN","TEN","2022-11-13T18:00:00Z","3.5","over","-165","undefined","null","null","under","122","undefined","null","null"
"recv_yd","C. Sutton","WR","DEN","TEN","2022-11-13T18:00:00Z","53.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_rec","G. Dulcich","TE","DEN","TEN","2022-11-13T18:00:00Z","4.5","over","125","undefined","null","null","under","-170","undefined","null","null"
"recv_yd","G. Dulcich","TE","DEN","TEN","2022-11-13T18:00:00Z","43.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_rec","J. Jeudy","WR","DEN","TEN","2022-11-13T18:00:00Z","4.5","over","113","undefined","null","null","under","-152","undefined","null","null"
"recv_yd","J. Jeudy","WR","DEN","TEN","2022-11-13T18:00:00Z","52.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"rush_recv_yd","L. Murray","RB","DEN","TEN","2022-11-13T18:00:00Z","43.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"rush_yd","L. Murray","RB","DEN","TEN","2022-11-13T18:00:00Z","35.5","over","-113","undefined","null","null","under","-118","undefined","null","null"
"recv_rec","M. Gordon III","RB","DEN","TEN","2022-11-13T18:00:00Z","1.5","over","-159","undefined","null","null","under","117","undefined","null","null"
"recv_yd","M. Gordon III","RB","DEN","TEN","2022-11-13T18:00:00Z","11.5","over","-112","undefined","null","null","under","-119","undefined","null","null"
"rush_recv_yd","M. Gordon III","RB","DEN","TEN","2022-11-13T18:00:00Z","48.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"rush_yd","M. Gordon III","RB","DEN","TEN","2022-11-13T18:00:00Z","33.5","over","-108","undefined","null","null","under","-125","undefined","null","null"
"pass_att","R. Wilson","QB","DEN","TEN","2022-11-13T18:00:00Z","32.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"pass_comp","R. Wilson","QB","DEN","TEN","2022-11-13T18:00:00Z","20.5","over","104","undefined","null","null","under","-140","undefined","null","null"
"pass_int","R. Wilson","QB","DEN","TEN","2022-11-13T18:00:00Z","0.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
