"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","C. Patterson","RB","ATL","CHI","2022-11-20T18:00:00Z","4.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"rush_recv_yd","C. Patterson","RB","ATL","CHI","2022-11-20T18:00:00Z","55.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"rush_yd","C. Patterson","RB","ATL","CHI","2022-11-20T18:00:00Z","46.5","over","-122","undefined","null","null","under","-111","undefined","null","null"
"recv_rec","D. Byrd","WR","ATL","CHI","2022-11-20T18:00:00Z","1.5","over","-109","undefined","null","null","under","-125","undefined","null","null"
"recv_yd","D. Byrd","WR","ATL","CHI","2022-11-20T18:00:00Z","16.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_rec","D. London","WR","ATL","CHI","2022-11-20T18:00:00Z","3.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","D. London","WR","ATL","CHI","2022-11-20T18:00:00Z","40.5","over","-116","undefined","null","null","under","-117","undefined","null","null"
"recv_rec","K. Pitts","TE","ATL","CHI","2022-11-20T18:00:00Z","3.5","over","-106","undefined","null","null","under","-127","undefined","null","null"
"recv_yd","K. Pitts","TE","ATL","CHI","2022-11-20T18:00:00Z","37.5","over","-115","undefined","null","null","under","-119","undefined","null","null"
"pass_comp","M. Mariota","QB","ATL","CHI","2022-11-20T18:00:00Z","14.5","over","-103","undefined","null","null","under","-133","undefined","null","null"
"pass_int","M. Mariota","QB","ATL","CHI","2022-11-20T18:00:00Z","0.5","over","110","undefined","null","null","under","-150","undefined","null","null"
"pass_td","M. Mariota","QB","ATL","CHI","2022-11-20T18:00:00Z","1.5","over","189","undefined","null","null","under","-263","undefined","null","null"
"pass_yd","M. Mariota","QB","ATL","CHI","2022-11-20T18:00:00Z","170.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"rush_yd","M. Mariota","QB","ATL","CHI","2022-11-20T18:00:00Z","34.5","over","-116","undefined","null","null","under","-118","undefined","null","null"
"recv_rec","O. Zaccheaus","WR","ATL","CHI","2022-11-20T18:00:00Z","2.5","over","139","undefined","null","null","under","-188","undefined","null","null"
"recv_yd","O. Zaccheaus","WR","ATL","CHI","2022-11-20T18:00:00Z","25.5","over","-111","undefined","null","null","under","-120","undefined","null","null"
"rush_recv_yd","T. Allgeier","RB","ATL","CHI","2022-11-20T18:00:00Z","41.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"rush_yd","T. Allgeier","RB","ATL","CHI","2022-11-20T18:00:00Z","35.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
