"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_rec","J. Chase","WR","CIN","CLV","2022-12-11T18:00:00Z","6.5","over","105","undefined","null","null","under","-142","undefined","null","null"
"recv_yd","J. Chase","WR","CIN","CLV","2022-12-11T18:00:00Z","81.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"pass_att","J. Burrow","QB","CIN","CLV","2022-12-11T18:00:00Z","36.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"pass_comp","J. Burrow","QB","CIN","CLV","2022-12-11T18:00:00Z","24.5","over","-125","undefined","null","null","under","-106","undefined","null","null"
"pass_int","J. Burrow","QB","CIN","CLV","2022-12-11T18:00:00Z","0.5","over","-121","undefined","null","null","under","-111","undefined","null","null"
"pass_td","J. Burrow","QB","CIN","CLV","2022-12-11T18:00:00Z","2.5","over","157","undefined","null","null","under","-216","undefined","null","null"
"pass_yd","J. Burrow","QB","CIN","CLV","2022-12-11T18:00:00Z","277.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"rush_yd","J. Burrow","QB","CIN","CLV","2022-12-11T18:00:00Z","15.5","over","-105","undefined","null","null","under","-127","undefined","null","null"
"recv_rec","T. Higgins","WR","CIN","CLV","2022-12-11T18:00:00Z","5.5","over","108","undefined","null","null","under","-145","undefined","null","null"
"recv_yd","T. Higgins","WR","CIN","CLV","2022-12-11T18:00:00Z","67.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_rec","T. Boyd","WR","CIN","CLV","2022-12-11T18:00:00Z","3.5","over","-127","undefined","null","null","under","-107","undefined","null","null"
"recv_yd","T. Boyd","WR","CIN","CLV","2022-12-11T18:00:00Z","40.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
