NAME	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	OVER	UNDER
Isaiah Hodgins	'+140	A	NYG	MIN	28th	rec	3.5	4.1	3.75 - 4.6	5.0 - 3.6	62%	100%	4,8,4,4,5,3,3,2	0%	-145	'+110
Isaiah Hodgins	'+140	A	NYG	MIN	31st	rec_yds	43.5	43.9	41.0 - 46.2	52.33 - 38.8	25%	33%	42,89,37,38,44,31,29,41	0%	-110	-120
Isaiah Likely	'+350	A	BAL	CIN	23rd	rec_yds	14.5	26.6	18.56 - 41.2	37.14 - 16.14	57%	33%	103,12,4,18,30,1,24,77,16,30,7,8,43,0	0%	-115	-115
Jaelan Phillips	'+600	A	MIA	BUF	7th	tackles_combined	3.5	3.6	3.44 - 3.75	3.44 - 3.75	35%	33%	2,3,6,3,6,3,7,2,6,2,8,2,5,2,2,1,1	29%	-150	'+110
Jaelan Phillips	'+600	A	MIA	BUF		sacks	0.75	0.4	0.33 - 0.5	0.39 - 0.44	29%	0%	0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0	29%	'+205	-285
Jamarr Chase	-435	H	CIN	BAL	26th	rec	6.5	7.2	7.22 - 7.33	6.67 - 7.83	75%	100%	8,8,7,10,7,8,7,7,4,6,5,10	18%	-105	-125
Jamarr Chase	-435	H	CIN	BAL	26th	rec_yds	78.5	87.2	90.33 - 77.67	67.33 - 107.0	67%	67%	86,79,60,119,97,130,132,50,81,29,54,129	35%	-115	-115
James Cook	-850	H	BUF	MIA	31st	rec	1.5	1.3	1.15 - 2.0	1.88 - 0.75	38%	67%	2,1,2,1,6,2,0,0,2,1,0,0,0,4,0,0	0%	-170	'+130
James Cook	-850	H	BUF	MIA	6th	rush_yds	38.5	31.7	35.92 - 13.33	24.38 - 39.0	31%	67%	45,99,34,6,64,4,86,22,15,35,8,31,0,3,53,2	0%	-110	-120
James Cook	-850	H	BUF	MIA	6th	rush_att	8.5	5.6	6.08 - 3.33	4.38 - 6.75	31%	67%	9,11,5,4,14,2,11,5,4,5,2,4,0,1,11,1	0%	-125	-105
James Cook	-850	H	BUF	MIA	27th	rec_yds	12.5	11.2	9.62 - 18.33	14.88 - 7.62	31%	0%	6,9,5,9,41,14,0,0,18,41,0,0,0,37,0,0	0%	-135	'+105
Jason Sanders	'+600	A	MIA	BUF		fgm	1.5	1.5	1.56 - 1.5	1.11 - 2.0	47%	67%	3,0,2,3,1,1,3,2,0,1,3,1,1,3,0,0,2	0%	'+140	-190
Jaylen Waddle	'+600	A	MIA	BUF	15th	rec_yds	46.5	79.8	90.67 - 67.5	70.0 - 90.75	71%	67%	44,52,143,114,31,9,85,66,85,106,88,129,23,39,102,171,69	75%	-115	-115
Jaylen Waddle	'+600	A	MIA	BUF	22nd	rec	3.5	4.4	5.56 - 3.12	4.22 - 4.62	65%	67%	5,3,5,3,2,1,5,4,5,8,4,6,3,2,4,11,4	81%	-135	'+100
Jeff Wilson Jr	'+600	A	MIA	BUF	14th	rush_yds	59.5	53.8	58.89 - 47.14	52.12 - 55.38	38%	33%	72,45,37,26,3,39,119,51,14,54,25,120,74,75,84,22	17%	-120	-110
Jeff Wilson Jr	'+600	A	MIA	BUF	15th	rec_yds	14.5	11.6	15.44 - 6.57	13.0 - 10.12	38%	33%	2,31,3,0,0,13,24,21,21,0,0,12,0,31,19,8	0%	-115	-115
Jeff Wilson Jr	'+600	A	MIA	BUF	22nd	rec	2.5	1.4	1.89 - 0.71	1.38 - 1.38	19%	33%	2,3,1,0,0,1,2,3,2,0,0,1,0,3,2,2	17%	'+110	-145
Jerome Baker	'+600	A	MIA	BUF	7th	tackles_combined	5.5	5.9	5.56 - 6.25	6.56 - 5.12	41%	0%	3,5,3,6,11,11,4,7,7,5,4,2,5,7,13,2,5	62%	-150	'+115
Jevon Holland	'+600	A	MIA	BUF	7th	tackles_combined	6.5	5.6	5.67 - 5.62	5.67 - 5.62	35%	100%	7,8,8,4,5,7,5,2,4,12,5,5,3,5,10,3,3	20%	'+105	-135
Jk Dobbins	'+350	A	BAL	CIN	9th	rush_yds	61.5	65.0	61.5 - 68.5	70.75 - 59.25	38%	67%	93,59,125,120,15,44,41,23	0%	-120	-110
Jk Dobbins	'+350	A	BAL	CIN	7th	rush_att	14.5	11.5	10.5 - 12.5	10.5 - 12.5	25%	33%	17,12,13,15,7,8,13,7	0%	'+105	-135
Joe Burrow	-435	H	CIN	BAL	26th	pass_cmp	24.5	25.9	25.67 - 26.5	26.33 - 25.29	50%	100%	25,40,27,18,25,22,24,22,25,34,28,24,20,23,24,33	38%	-105	-125
Joe Burrow	-435	H	CIN	BAL	21st	pass_att	36.5	37.9	37.25 - 39.75	38.44 - 37.14	50%	100%	42,52,39,33,31,37,39,28,35,42,37,35,31,36,36,53	38%	-115	-115
Joe Burrow	-435	H	CIN	BAL	5th	pass_td	1.5	2.2	2.42 - 1.5	2.44 - 1.86	69%	67%	1,3,4,2,2,1,4,1,2,3,3,1,2,3,1,2	69%	-210	'+155
Joe Burrow	-435	H	CIN	BAL	12th	pass_int	0.5	0.8	0.5 - 1.5	0.78 - 0.71	44%	67%	0,2,1,1,0,0,2,0,1,0,0,1,0,0,0,4	56%	-105	-125
Joe Burrow	-435	H	CIN	BAL	26th	pass_yds	271.5	279.7	290.75 - 246.5	269.22 - 293.14	50%	33%	215,375,200,239,286,270,355,206,232,481,300,217,287,275,199,338	50%	-115	-115
Joe Burrow	-435	H	CIN	BAL	3rd	rush_yds	10.5	16.1	14.67 - 20.25	12.11 - 21.14	38%	0%	10,5,8,10,46,32,5,9,2,20,25,6,6,0,26,47	31%	-120	-110
Joe Mixon	-435	H	CIN	BAL	26th	rec_yds	24.5	31.5	31.0 - 32.75	27.88 - 36.33	64%	100%	41,43,33,10,42,58,32,33,23,10,13,14,26,63	31%	-110	-120
