NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Chris Boucher	PF	20	-205	H	TOR	MIA	15th	reb	5.5	5.7	5.54 - 5.94	5.52 - 5.92	46%	53%	60%	7,13,6,3,4,7,4,2,6,6	0%	-130	'+100
Trey Murphy Iii	SG	30	'+295	A	NO	GS	28th	reb	3.5	3.6	3.94 - 3.32	3.41 - 3.86	46%	47%	20%	2,2,2,3,4,4,3,7,4,6	61%	-105	-125
Markelle Fultz	PG	30	'+230	A	ORL	MEM	29th	reb	4.5	4.1	4.04 - 4.15	4.37 - 3.81	44%	53%	60%	6,1,5,3,6,7,4,4,3,1	0%	-105	-125
Desmond Bane	SG	31	-275	H	MEM	ORL	18th	reb	5.5	5.0	5.32 - 4.39	5.81 - 4.19	44%	33%	20%	3,4,3,6,4,8,4,8,7,2	31%	'+120	-150
Franz Wagner	SF	32	'+230	A	ORL	MEM	9th	reb	4.5	4.1	4.1 - 4.05	4.05 - 4.08	43%	40%	40%	10,3,4,8,4,10,2,8,1,3	46%	-115	-115
Draymond Green	PF	31	-360	H	GS	NO	5th	reb	7.5	7.3	7.75 - 6.71	6.55 - 7.89	43%	40%	0%	7,7,4,7,7,8,6,13,5,1	51%	'+120	-150
Kevon Looney	C	23	-360	H	GS	NO	17th	reb	9.5	9.1	10.1 - 8.11	8.32 - 9.95	42%	53%	60%	7,10,12,10,3,16,13,10,15,7	25%	-120	-110
Wendell Carter Jr	C	30	'+230	A	ORL	MEM	15th	reb	9.5	8.8	9.38 - 8.32	9.26 - 8.32	42%	53%	40%	6,8,9,11,12,5,10,11,9,10	67%	-135	'+105
David Roddy	G	17	-275	H	MEM	ORL	18th	reb	2.5	2.6	2.52 - 2.73	2.55 - 2.65	42%	40%	40%	1,2,3,6,2,2,2,5,4,3	0%	-175	'+140
Tyler Herro	PG	35	'+175	A	MIA	TOR	5th	reb	5.5	5.6	5.55 - 5.57	5.6 - 5.52	41%	47%	40%	2,3,6,7,4,6,5,9,5,4	47%	'+120	-150
Jimmy Butler	SF	33	'+175	A	MIA	TOR	15th	reb	6.5	6.0	6.59 - 5.21	5.39 - 6.44	40%	47%	40%	1,4,4,7,8,8,5,5,5,9	38%	'+100	-130
Paolo Banchero	PF	33	'+230	A	ORL	MEM	24th	reb	7.5	6.7	7.48 - 6.1	6.24 - 7.15	40%	40%	40%	9,6,9,6,6,8,6,10,8,4	0%	'+130	-160
Monte Morris	PG	27	'+440	H	WSH	BOS	15th	reb	3.5	3.4	3.96 - 2.94	3.41 - 3.39	40%	47%	0%	2,2,2,2,2,8,4,5,4,2	26%	'+105	-135
Donovan Mitchell	SG	35	'+115	A	CLE	ATL	17th	reb	4.5	4.2	4.36 - 3.91	4.19 - 4.22	39%	53%	100%	5,6,5,6,6,3,3,4,11,3	46%	-155	'+125
Jonas Valanciunas	C	24	'+295	A	NO	GS	22nd	reb	11.5	10.1	10.94 - 9.25	10.69 - 9.5	39%	60%	100%	21,13,19,15,12,17,6,12,4,4	16%	-130	'+100
Klay Thompson	SG	33	-360	H	GS	NO	15th	reb	4.5	4.2	4.74 - 3.63	4.07 - 4.35	39%	53%	60%	4,6,5,7,1,11,3,5,3,4	37%	'+115	-145
Jonathan Kuminga	PF	20	-360	H	GS	NO	5th	reb	3.5	3.3	3.03 - 3.64	3.63 - 3.0	38%	47%	20%	1,2,3,3,8,6,0,3,6,7	49%	'+120	-150
Jaren Jackson Jr	PF	28	-275	H	MEM	ORL	19th	reb	7.5	6.7	6.84 - 6.35	6.44 - 6.87	37%	33%	40%	8,7,10,4,7,5,9,5,7,9	0%	'+110	-140
Brandon Ingram	SF	33	'+295	A	NO	GS	13th	reb	5.5	5.0	5.42 - 4.63	5.2 - 4.83	37%	40%	40%	6,4,11,4,2,4,6,4,3,5	46%	'+115	-145
Cole Anthony	PG	25	'+230	A	ORL	MEM	29th	reb	5.5	4.7	4.92 - 4.45	4.68 - 4.67	33%	40%	80%	6,6,7,5,8,5,5,6,1,5	22%	'+110	-140
