NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Jakob Poeltl	C	26	-190	H	SA	UTAH	29th	pts	10.5	12.4	13.71 - 11.81	14.73 - 10.25	57%	40%	13,8,7,12,10,4,20	63%	-120	-110
Jakob Poeltl	C	26	-190	H	SA	UTAH	26th	stl	0.5	0.9	0.71 - 1.0	0.55 - 1.25	57%	40%	1,0,2,0,0,3,1	45%	-105	-125
Tyrese Haliburton	PG	33	'+210	A	IND	NO	16th	pts	19.5	20.0	22.4 - 17.53	19.79 - 20.12	57%	40%	33,15,17,29,1,35,23	13%	-125	-105
Isaiah Stewart	C	27	'+190	H	DET	LAC	22nd	pts	10.5	11.6	14.67 - 10.67	11.92 - 11.27	56%	40%	6,7,9,13,19,8,13	27%	'+100	-130
Darius Garland	PG	36	-125	H	CLE	BKN	16th	pts+ast	27.5	28.6	30.38 - 26.0	23.5 - 32.67	56%	40%	25,25,30,30,18,27,21	69%	-105	-125
Keldon Johnson	SF	32	-190	H	SA	UTAH	6th	3ptm	2.5	2.7	3.11 - 2.44	2.73 - 2.62	56%	40%	3,1,1,0,3,1,1	27%	'+120	-150
Kyrie Irving	PG	36	'+105	A	BKN	CLE	8th	blk	0.5	1.0	0.92 - 1.11	0.75 - 1.14	55%	40%	0,0,2,0,4,1,0	47%	'+120	-150
Donovan Mitchell	SG	36	-125	H	CLE	BKN	15th	reb	3.5	3.8	3.85 - 3.67	4.21 - 3.4	55%	40%	4,2,4,1,3,5,6	57%	-125	-105
Jalen Green	SG	34	'+250	A	HOU	CHI	11th	stl	0.5	0.8	0.67 - 0.86	0.75 - 0.87	55%	40%	0,2,0,3,0,0,0	51%	-150	'+120
Jonas Valanciunas	C	23	-250	H	NO	IND	27th	reb	9.5	9.4	9.37 - 9.33	10.07 - 8.76	55%	40%	10,18,8,9,6,10,10	38%	-120	-110
Jarrett Allen	C	33	-125	H	CLE	BKN	17th	pts+reb+ast	25.5	25.8	27.11 - 22.29	23.55 - 27.47	54%	40%	30,33,24,14,23,26,33	62%	-105	-125
Alperen Sengun	C	26	'+250	A	HOU	CHI	11th	reb+ast	10.5	11.0	13.14 - 10.29	9.87 - 12.31	54%	40%	18,7,8,7,18,11,13	44%	-135	'+105
Myles Turner	C	29	'+210	A	IND	NO	14th	pts+reb+ast	24.5	25.9	29.08 - 22.69	23.85 - 27.92	54%	40%	19,15,23,26,30,21,20	30%	-110	-120
Myles Turner	C	29	'+210	A	IND	NO	17th	stl+blk	2.5	2.7	2.85 - 2.54	2.54 - 2.85	54%	40%	1,2,0,3,5,1,1	66%	-130	'+100
