NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Alperen Sengun	C	26	'+250	A	HOU	CHI	23rd	ast	2.5	2.3	2.86 - 2.1	1.93 - 2.69	36%	40%	6,3,0,2,2,3,2	65%	-140	'+110
Killian Hayes	PG	25	'+190	H	DET	LAC	29th	reb+ast	9.5	8.1	8.88 - 7.81	7.83 - 8.31	35%	40%	6,9,13,5,15,12,6	23%	-125	-105
Demar Derozan	SF	35	-300	H	CHI	HOU	26th	stl+blk	1.5	1.2	1.31 - 1.11	1.35 - 1.0	35%	40%	1,0,2,1,2,0,0	39%	'+110	-140
Nic Claxton	C	27	'+105	A	BKN	CLE	5th	ast	1.5	1.3	1.82 - 0.67	1.2 - 1.5	34%	40%	5,2,0,1,1,1,1	29%	'+155	-190
Buddy Hield	SG	31	'+210	A	IND	NO	9th	reb+ast	7.5	7.4	7.56 - 7.19	8.12 - 6.62	34%	40%	10,6,6,6,11,6,6	44%	'+100	-130
Trey Murphy Iii	SG	28	-250	H	NO	IND	26th	ast	1.5	1.4	1.47 - 1.25	1.38 - 1.38	34%	40%	1,0,2,0,2,2,1	35%	'+120	-150
Dangelo Russell	PG	32	'+130	A	MIN	MIA	19th	reb+ast	10.5	9.6	9.6 - 9.53	9.54 - 9.59	33%	40%	14,7,10,11,4,5,4	49%	-105	-125
Zach Lavine	SG	34	-300	H	CHI	HOU	10th	pts+reb+ast	32.5	30.4	31.08 - 29.93	32.92 - 28.14	33%	40%	32,34,29,23,33,27,22	51%	-105	-125
Gordon Hayward	SF	32	'+175	A	CHA	POR	15th	reb	5.5	4.9	3.4 - 5.7	6.1 - 2.6	33%	40%	9,5,10,3,2,5,6	29%	'+105	-135
Josh Hart	SG	34	-205	H	POR	CHA	14th	pts+reb+ast	23.5	21.8	23.38 - 19.93	22.82 - 20.38	33%	40%	20,27,26,11,18,17,23	64%	-115	-115
Josh Hart	SG	34	-205	H	POR	CHA	15th	pts+reb	19.5	17.9	19.75 - 15.86	18.71 - 16.92	33%	40%	18,21,25,10,15,15,19	62%	-120	-110
Jalen Duren	C	23	'+190	H	DET	LAC	22nd	pts	8.5	7.2	6.75 - 7.35	7.19 - 7.2	32%	40%	7,15,8,15,7,3,10	0%	-130	'+100
Killian Hayes	PG	25	'+190	H	DET	LAC	13th	pts+ast	17.5	14.0	15.5 - 13.5	14.11 - 13.81	32%	40%	16,9,18,15,33,14,10	8%	-115	-115
Jeremy Sochan	F	24	-190	H	SA	UTAH	20th	reb	5.5	4.4	5.0 - 4.11	4.67 - 4.08	32%	40%	9,7,4,5,3,0,9	0%	-110	-120
Jeremy Sochan	F	24	-190	H	SA	UTAH	16th	pts+reb	15.5	12.5	13.0 - 12.33	14.33 - 10.85	32%	40%	32,19,6,9,5,5,22	0%	-125	-105
Jeremy Sochan	F	24	-190	H	SA	UTAH	1st	3ptm	0.5	0.4	0.43 - 0.44	0.5 - 0.38	32%	40%	2,1,0,0,0,1,1	0%	'+115	-145
Herbert Jones	SF	28	-250	H	NO	IND	19th	ast	2.5	2.2	2.08 - 2.3	2.6 - 1.83	32%	40%	2,1,4,4,2,1,3	33%	'+155	-190
Herbert Jones	SF	28	-250	H	NO	IND	16th	stl	1.5	1.3	1.17 - 1.4	0.9 - 1.58	32%	40%	2,5,0,1,0,0,4	46%	'+115	-145
Jonas Valanciunas	C	23	-250	H	NO	IND	20th	blk	0.5	0.3	0.37 - 0.25	0.5 - 0.18	32%	40%	0,0,1,1,0,0,0	58%	'+145	-180
Zion Williamson	PF	33	-250	H	NO	IND	14th	pts+reb	35.5	32.3	32.6 - 31.9	32.92 - 31.67	32%	40%	25,33,39,35,43,42,39	0%	-105	-125
Anthony Edwards	SG	36	'+130	A	MIN	MIA	10th	stl+blk	2.5	2.3	2.62 - 1.94	2.0 - 2.53	31%	40%	2,3,2,2,3,2,2	37%	'+140	-175
Paul George	SG	34	-225	A	LAC	DET	26th	blk	0.5	0.5	0.6 - 0.38	0.36 - 0.67	30%	40%	2,0,0,2,0,1,0	35%	'+155	-190
Killian Hayes	PG	25	'+190	H	DET	LAC	7th	pts	11.5	8.7	9.5 - 8.5	9.06 - 8.38	29%	40%	12,4,10,11,25,5,5	5%	-115	-115
Jalen Green	SG	34	'+250	A	HOU	CHI	12th	stl+blk	1.5	1.1	0.89 - 1.14	1.12 - 1.0	29%	40%	0,2,1,4,0,0,1	24%	'+190	-235
Patrick Williams	PF	27	-300	H	CHI	HOU	10th	pts+reb+ast	18.5	14.7	15.62 - 14.06	13.76 - 15.86	29%	40%	20,13,19,14,18,16,22	26%	-110	-120
Jeremy Sochan	F	24	-190	H	SA	UTAH	17th	pts+ast	13.5	10.5	10.14 - 10.61	11.83 - 9.23	28%	40%	29,14,6,7,5,8,18	0%	-105	-125
Jeremy Sochan	F	24	-190	H	SA	UTAH	21st	reb+ast	8.5	6.7	7.14 - 6.5	6.83 - 6.54	28%	40%	15,9,8,8,6,3,14	0%	-105	-125
Zion Williamson	PF	33	-250	H	NO	IND	15th	stl	1.5	1.2	1.4 - 1.0	1.15 - 1.33	28%	40%	3,0,0,2,1,1,1	0%	'+180	-220
Killian Hayes	PG	25	'+190	H	DET	LAC	15th	pts+reb+ast	21.5	16.8	18.38 - 16.31	16.89 - 16.69	26%	40%	18,13,23,16,40,17,11	8%	-105	-125
Jalen Green	SG	34	'+250	A	HOU	CHI	15th	blk	0.5	0.3	0.22 - 0.27	0.38 - 0.13	26%	40%	0,0,1,1,0,0,1	25%	'+255	-325
Patrick Williams	PF	27	-300	H	CHI	HOU	4th	pts+ast	13.5	10.8	11.62 - 10.28	9.53 - 12.43	26%	40%	12,10,17,13,16,9,19	22%	'+100	-130
Lamelo Ball	PG	33	'+175	A	CHA	POR	16th	pts+reb	29.5	27.8	24.5 - 28.83	28.4 - 26.67	25%	40%	36,28,36,29,24,27,21	34%	-110	-120
Lamelo Ball	PG	33	'+175	A	CHA	POR	25th	reb+ast	13.5	12.4	15.0 - 11.5	15.0 - 8.0	25%	40%	23,17,10,5,12,7,13	49%	-130	'+100
Evan Mobley	PF	34	-125	H	CLE	BKN	5th	3ptm	0.5	0.3	0.36 - 0.09	0.27 - 0.28	21%	40%	0,0,1,1,0,0,2	29%	'+285	-375
Zion Williamson	PF	33	-250	H	NO	IND	22nd	3ptm	0.5	0.2	0.13 - 0.4	0.23 - 0.25	16%	40%	0,0,1,0,2,0,0	0%	'+300	-400
Jakob Poeltl	C	26	-190	H	SA	UTAH	21st	ast	1.5	3.1	3.43 - 2.94	3.0 - 3.17	78%	20%	1,1,0,0,4,3,3	69%	-190	'+155
Jakob Poeltl	C	26	-190	H	SA	UTAH	26th	reb+ast	10.5	12.3	14.29 - 11.5	12.09 - 12.58	70%	20%	5,6,7,9,12,17,11	57%	-120	-110
Devin Vassell	SG	31	-190	H	SA	UTAH	8th	pts+reb+ast	24.5	27.4	29.57 - 26.5	28.5 - 26.31	64%	20%	24,35,23,19,21,24,23	26%	-125	-105
Devin Vassell	SG	31	-190	H	SA	UTAH	10th	pts+reb	21.5	23.8	26.14 - 22.89	24.92 - 22.77	64%	20%	19,30,21,15,18,22,19	29%	-125	-105
Royce Oneale	PF	35	'+105	A	BKN	CLE	13th	stl	0.5	1.0	0.89 - 1.17	1.0 - 1.0	63%	20%	0,0,0,0,1,1,1	58%	-165	'+135
Tyrese Haliburton	PG	33	'+210	A	IND	NO	20th	reb+ast	13.5	14.6	15.8 - 13.33	14.43 - 14.69	63%	20%	11,11,14,10,9,10,13	24%	'+105	-135
Devin Vassell	SG	31	-190	H	SA	UTAH	3rd	3ptm	2.5	2.8	3.29 - 2.67	3.17 - 2.54	60%	20%	1,5,1,2,2,1,2	41%	'+120	-150
Tyrese Haliburton	PG	33	'+210	A	IND	NO	7th	reb	3.5	4.0	4.6 - 3.33	4.36 - 3.62	60%	20%	3,1,0,4,3,1,2	56%	-105	-125
Nic Claxton	C	27	'+105	A	BKN	CLE	7th	reb	7.5	8.6	8.82 - 8.25	8.2 - 9.0	59%	20%	7,7,10,7,7,14,9	44%	-125	-105
Evan Mobley	PF	34	-125	H	CLE	BKN	17th	stl	0.5	0.7	0.64 - 0.91	0.73 - 0.72	58%	20%	1,0,0,0,0,0,0	54%	'+115	-145
Myles Turner	C	29	'+210	A	IND	NO	11th	blk	1.5	2.1	2.31 - 1.85	2.23 - 1.92	58%	20%	0,1,0,1,4,1,0	84%	-190	'+155
Pj Washington	PF	31	'+175	A	CHA	POR	8th	pts+reb+ast	18.5	21.5	24.75 - 20.3	18.35 - 25.21	58%	20%	16,14,17,19,11,16,24	58%	-125	-105
Jakob Poeltl	C	26	-190	H	SA	UTAH	29th	pts+reb+ast	21.5	24.7	28.0 - 23.31	26.82 - 22.83	57%	20%	18,14,14,21,22,21,31	61%	-115	-115
Alperen Sengun	C	26	'+250	A	HOU	CHI	13th	pts	13.5	14.4	13.43 - 14.71	14.6 - 14.15	57%	20%	13,22,10,12,10,8,16	37%	-130	'+100
Isaiah Stewart	C	27	'+190	H	DET	LAC	22nd	reb+ast	8.5	9.3	12.33 - 8.48	10.83 - 8.13	56%	20%	6,4,7,8,12,5,7	76%	'+105	-135
Devin Vassell	SG	31	-190	H	SA	UTAH	6th	pts	18.5	19.6	21.43 - 18.94	20.0 - 19.31	56%	20%	10,26,18,13,16,18,14	20%	'+100	-130
Devin Vassell	SG	31	-190	H	SA	UTAH	5th	pts+ast	21.5	23.2	24.86 - 22.56	23.58 - 22.85	56%	20%	15,31,20,17,19,20,18	16%	-105	-125
Keldon Johnson	SF	32	-190	H	SA	UTAH	28th	stl	0.5	0.8	0.89 - 0.72	0.73 - 0.81	56%	20%	1,0,0,0,0,1,0	51%	-145	'+115
Jonas Valanciunas	C	23	-250	H	NO	IND	17th	ast	1.5	1.8	1.84 - 1.75	1.93 - 1.71	55%	20%	1,5,0,1,1,0,0	67%	-130	'+100
Tyrese Haliburton	PG	33	'+210	A	IND	NO	14th	stl	1.5	1.7	1.87 - 1.53	1.79 - 1.62	53%	20%	1,0,3,1,0,3,0	54%	-120	-110
Donovan Mitchell	SG	36	-125	H	CLE	BKN	11th	reb+ast	7.5	8.3	8.55 - 7.67	8.07 - 8.47	52%	20%	10,3,7,4,7,6,11	75%	-130	'+100
Donovan Mitchell	SG	36	-125	H	CLE	BKN	19th	stl+blk	1.5	1.7	1.95 - 1.11	1.14 - 2.2	52%	20%	2,0,1,1,1,0,4	46%	-120	-110
Keldon Johnson	SF	32	-190	H	SA	UTAH	3rd	ast	2.5	2.9	3.22 - 2.72	3.0 - 2.81	52%	20%	3,2,2,2,1,2,3	34%	-130	'+100
Jakob Poeltl	C	26	-190	H	SA	UTAH	26th	reb	8.5	9.3	10.86 - 8.56	9.09 - 9.42	52%	20%	4,5,7,9,8,14,8	48%	-115	-115
Jakob Poeltl	C	26	-190	H	SA	UTAH	29th	pts+reb	19.5	21.7	24.57 - 20.38	23.82 - 19.67	52%	20%	17,13,14,21,18,18,28	61%	-110	-120
Pj Washington	PF	31	'+175	A	CHA	POR	7th	pts	12.5	14.3	16.62 - 13.52	11.35 - 17.93	52%	20%	11,3,10,13,4,10,12	45%	-105	-125
Pj Washington	PF	31	'+175	A	CHA	POR	3rd	pts+reb	17.5	19.2	22.12 - 18.13	16.24 - 22.71	52%	20%	14,12,16,18,8,15,17	45%	-105	-125
Tre Jones	PG	30	-190	H	SA	UTAH	9th	stl+blk	1.5	1.5	1.5 - 1.55	1.46 - 1.59	50%	20%	0,1,1,0,2,3,0	35%	'+110	-140
Alperen Sengun	C	26	'+250	A	HOU	CHI	11th	stl	0.5	0.6	1.29 - 0.43	0.53 - 0.77	50%	20%	0,1,0,0,0,1,0	56%	-110	-120
Jusuf Nurkic	C	28	-205	H	POR	CHA	30th	pts+reb	24.5	24.2	24.33 - 24.08	21.8 - 27.0	50%	20%	18,19,22,22,30,23,30	54%	-125	-105
Mason Plumlee	C	27	'+175	A	CHA	POR	9th	reb	9.5	9.1	9.12 - 9.08	7.76 - 10.6	50%	20%	3,4,9,7,18,12,9	38%	-135	'+105
Jeremy Sochan	F	24	-190	H	SA	UTAH	3rd	stl	0.5	0.8	0.29 - 1.0	0.67 - 0.92	48%	20%	1,0,0,0,0,0,4	0%	-155	'+125
Trey Murphy Iii	SG	28	-250	H	NO	IND	24th	3ptm	2.5	2.2	2.65 - 1.58	2.0 - 2.38	48%	20%	1,1,2,3,0,1,1	37%	'+150	-185
Pj Washington	PF	31	'+175	A	CHA	POR	2nd	3ptm	1.5	1.7	2.0 - 1.65	1.41 - 2.14	48%	20%	1,1,2,1,0,0,1	59%	'+150	-185
Royce Oneale	PF	35	'+105	A	BKN	CLE	15th	stl+blk	1.5	1.7	1.5 - 1.92	1.5 - 1.81	47%	20%	2,0,0,1,1,2,1	47%	'+140	-175
Jordan Clarkson	PG	32	'+160	A	UTAH	SA	26th	ast	4.5	4.5	4.74 - 4.2	4.47 - 4.53	47%	20%	3,6,0,3,2,3,3	20%	'+120	-150
Gordon Hayward	SF	32	'+175	A	CHA	POR	12th	pts	15.5	15.2	16.2 - 14.7	15.1 - 15.4	47%	20%	6,19,15,9,7,20,13	51%	-110	-120
Jerami Grant	SF	35	-205	H	POR	CHA	13th	pts+reb+ast	29.5	28.7	30.53 - 26.87	31.18 - 25.46	47%	20%	26,37,8,24,29,26,24	46%	-115	-115
Josh Hart	SG	34	-205	H	POR	CHA	16th	ast	3.5	3.8	3.62 - 4.07	4.12 - 3.46	47%	20%	2,6,1,1,3,2,4	72%	-125	-105
Donovan Mitchell	SG	36	-125	H	CLE	BKN	9th	ast	4.5	4.5	4.7 - 4.0	3.86 - 5.07	45%	20%	6,1,3,3,4,1,5	74%	'+115	-145
Evan Mobley	PF	34	-125	H	CLE	BKN	22nd	reb	8.5	9.1	8.82 - 9.64	8.93 - 9.22	45%	20%	3,8,8,9,7,13,12	45%	-140	'+110
Nikola Vucevic	C	32	-300	H	CHI	HOU	3rd	reb	10.5	10.4	11.77 - 9.39	9.82 - 11.07	45%	20%	7,12,9,8,7,8,8	46%	-115	-115
Herbert Jones	SF	28	-250	H	NO	IND	22nd	blk	0.5	0.7	1.0 - 0.3	0.6 - 0.75	45%	20%	1,0,0,0,0,0,3	59%	-105	-125
Jonas Valanciunas	C	23	-250	H	NO	IND	27th	reb+ast	11.5	11.2	11.21 - 11.08	12.0 - 10.47	45%	20%	11,23,8,10,7,10,10	36%	-115	-115
Trey Murphy Iii	SG	28	-250	H	NO	IND	30th	pts+reb+ast	19.5	18.0	19.76 - 15.42	15.85 - 19.69	45%	20%	20,18,14,17,2,18,7	31%	-120	-110
Trey Murphy Iii	SG	28	-250	H	NO	IND	30th	pts+ast	14.5	13.7	15.18 - 11.58	11.92 - 15.12	45%	20%	16,13,10,12,2,11,4	30%	-125	-105
Damian Lillard	PG	34	-205	H	POR	CHA	11th	reb	3.5	3.7	4.17 - 3.0	3.9 - 3.5	45%	20%	2,3,3,1,5,2,3	58%	-145	'+115
Tre Jones	PG	30	-190	H	SA	UTAH	11th	stl	1.5	1.4	1.3 - 1.4	1.38 - 1.35	43%	20%	0,1,1,0,2,2,0	32%	'+155	-190
Jerami Grant	SF	35	-205	H	POR	CHA	21st	3ptm	2.5	2.6	2.67 - 2.53	2.59 - 2.62	43%	20%	2,1,1,2,3,2,2	42%	'+130	-160
Jusuf Nurkic	C	28	-205	H	POR	CHA	30th	reb+ast	13.5	12.6	13.93 - 11.15	11.73 - 13.69	43%	20%	10,7,7,13,20,17,11	48%	-115	-115
Jalen Duren	C	23	'+190	H	DET	LAC	23rd	stl	0.5	0.6	0.62 - 0.57	0.5 - 0.67	42%	20%	0,0,3,0,0,1,0	0%	'+115	-145
Demar Derozan	SF	35	-300	H	CHI	HOU	22nd	reb+ast	10.5	9.7	11.0 - 8.78	10.47 - 8.79	42%	20%	11,10,10,8,7,21,14	36%	-120	-110
Ben Simmons	PG	27	'+105	A	BKN	CLE	2nd	pts+reb	15.5	14.8	15.46 - 13.89	15.0 - 14.6	41%	20%	14,12,15,18,12,4,14	0%	-115	-115
Ben Simmons	PG	27	'+105	A	BKN	CLE	3rd	stl+blk	1.5	1.8	1.69 - 2.0	1.75 - 1.9	41%	20%	1,1,1,0,4,0,3	0%	-135	'+105
Keldon Johnson	SF	32	-190	H	SA	UTAH	5th	reb+ast	8.5	8.1	8.11 - 8.06	7.09 - 8.75	41%	20%	5,9,8,8,8,7,9	44%	'+100	-130
Buddy Hield	SG	31	'+210	A	IND	NO	16th	stl+blk	1.5	1.3	1.75 - 0.88	1.06 - 1.56	41%	20%	2,1,0,1,0,0,4	32%	'+185	-230
Herbert Jones	SF	28	-250	H	NO	IND	29th	reb	3.5	3.4	3.0 - 3.9	3.5 - 3.33	41%	20%	3,2,3,4,0,4,3	41%	-120	-110
Trey Murphy Iii	SG	28	-250	H	NO	IND	28th	pts	13.5	12.3	13.71 - 10.33	10.54 - 13.75	41%	20%	15,13,8,12,0,9,3	28%	-110	-120
Trey Murphy Iii	SG	28	-250	H	NO	IND	30th	pts+reb	18.5	16.6	18.29 - 14.17	14.46 - 18.31	41%	20%	19,18,12,17,0,16,6	31%	-110	-120
Jeremy Sochan	F	24	-190	H	SA	UTAH	16th	blk	0.5	0.4	0.57 - 0.39	0.58 - 0.31	40%	20%	0,1,0,0,0,0,1	0%	-105	-125
Damian Lillard	PG	34	-205	H	POR	CHA	25th	pts	28.5	27.7	29.75 - 24.62	26.5 - 28.9	40%	20%	16,28,25,24,37,38,36	19%	-115	-115
Damian Lillard	PG	34	-205	H	POR	CHA	25th	pts+reb+ast	40.5	38.5	40.58 - 35.25	37.4 - 39.5	40%	20%	26,37,38,28,50,43,47	16%	-120	-110
Damian Lillard	PG	34	-205	H	POR	CHA	25th	pts+reb	32.5	31.4	33.92 - 27.62	30.4 - 32.4	40%	20%	18,31,28,25,42,40,39	19%	-115	-115
Damian Lillard	PG	34	-205	H	POR	CHA	26th	pts+ast	36.5	34.8	36.42 - 32.25	33.5 - 36.0	40%	20%	24,34,35,27,45,41,44	16%	-120	-110
Demar Derozan	SF	35	-300	H	CHI	HOU	27th	reb	5.5	5.0	5.62 - 4.56	5.18 - 4.79	39%	20%	6,5,4,4,5,13,9	42%	-110	-120
Jalen Green	SG	34	'+250	A	HOU	CHI	21st	pts+reb+ast	30.5	29.1	36.67 - 26.0	26.44 - 31.93	39%	20%	30,16,24,28,37,40,19	25%	-110	-120
Jalen Green	SG	34	'+250	A	HOU	CHI	28th	pts+ast	26.5	24.9	32.11 - 21.91	22.75 - 27.13	39%	20%	22,15,19,23,30,33,16	25%	-105	-125
Jalen Green	SG	34	'+250	A	HOU	CHI	28th	3ptm	2.5	2.2	2.78 - 2.0	2.19 - 2.27	39%	20%	4,1,0,1,1,3,2	45%	'+145	-180
Donovan Mitchell	SG	36	-125	H	CLE	BKN	15th	stl	1.5	1.3	1.55 - 0.89	0.93 - 1.73	38%	20%	2,0,1,1,1,0,4	42%	'+130	-160
Jaden Ivey	PG	30	'+190	H	DET	LAC	13th	3ptm	1.5	1.4	1.25 - 1.41	1.12 - 1.69	37%	20%	1,2,1,1,0,1,1	0%	'+165	-205
Dangelo Russell	PG	32	'+130	A	MIN	MIA	26th	reb	3.5	3.1	3.0 - 3.27	2.85 - 3.35	37%	20%	6,2,2,3,1,3,0	42%	'+130	-160
Zach Lavine	SG	34	-300	H	CHI	HOU	19th	pts	22.5	21.7	21.67 - 21.8	23.38 - 20.21	37%	20%	22,21,22,17,25,21,16	62%	-115	-115
Devin Vassell	SG	31	-190	H	SA	UTAH	17th	blk	0.5	0.4	0.14 - 0.44	0.42 - 0.31	36%	20%	0,0,0,1,0,0,0	43%	'+205	-255
Jusuf Nurkic	C	28	-205	H	POR	CHA	30th	reb	10.5	9.8	10.6 - 8.85	8.8 - 10.92	36%	20%	6,5,6,7,16,15,9	52%	-115	-115
Killian Hayes	PG	25	'+190	H	DET	LAC	11th	blk	0.5	0.4	0.25 - 0.46	0.44 - 0.38	35%	20%	1,0,0,0,0,0,0	42%	'+185	-230
Paul George	SG	34	-225	A	LAC	DET	21st	stl	1.5	1.4	1.6 - 1.0	1.36 - 1.42	35%	20%	1,0,1,3,1,1,0	62%	'+135	-165
Jalen Green	SG	34	'+250	A	HOU	CHI	26th	pts	22.5	21.3	27.44 - 18.73	19.38 - 23.27	35%	20%	21,13,15,22,26,30,14	25%	-110	-120
Jonas Valanciunas	C	23	-250	H	NO	IND	7th	3ptm	0.5	0.7	0.68 - 0.75	0.64 - 0.76	35%	20%	0,7,0,0,0,0,0	45%	-105	-125
Jaden Ivey	PG	30	'+190	H	DET	LAC	28th	stl+blk	1.5	1.3	1.62 - 1.23	1.12 - 1.62	33%	20%	2,1,1,1,0,2,1	0%	'+155	-190
Zach Lavine	SG	34	-300	H	CHI	HOU	12th	pts+reb	27.5	26.2	26.25 - 26.13	28.23 - 24.29	33%	20%	27,27,23,20,30,24,19	60%	-110	-120
Ben Simmons	PG	27	'+105	A	BKN	CLE	5th	stl	1.5	1.3	1.23 - 1.33	1.08 - 1.5	32%	20%	1,1,1,0,4,0,3	0%	'+140	-175
Demar Derozan	SF	35	-300	H	CHI	HOU	23rd	blk	0.5	0.4	0.38 - 0.39	0.35 - 0.43	32%	20%	0,0,0,0,2,0,0	23%	'+165	-205
Buddy Hield	SG	31	'+210	A	IND	NO	18th	blk	0.5	0.3	0.56 - 0.12	0.25 - 0.44	31%	20%	1,0,0,0,0,0,1	25%	'+265	-345
Evan Mobley	PF	34	-125	H	CLE	BKN	4th	blk	1.5	1.3	1.36 - 1.09	1.73 - 0.89	30%	20%	1,0,0,2,1,1,0	51%	'+190	-235
Killian Hayes	PG	25	'+190	H	DET	LAC	28th	stl	1.5	1.1	0.5 - 1.23	0.94 - 1.19	29%	20%	1,1,2,0,0,1,2	28%	'+140	-175
Patrick Williams	PF	27	-300	H	CHI	HOU	8th	pts+reb	16.5	13.4	14.23 - 12.83	12.59 - 14.43	29%	20%	19,9,15,11,13,15,19	22%	-110	-120
Gordon Hayward	SF	32	'+175	A	CHA	POR	16th	3ptm	1.5	1.3	1.0 - 1.5	1.5 - 1.0	27%	20%	0,1,2,1,1,3,2	63%	'+165	-205
Gordon Hayward	SF	32	'+175	A	CHA	POR	3rd	blk	0.5	0.3	0.2 - 0.3	0.2 - 0.4	27%	20%	0,0,0,1,0,0,1	37%	'+220	-280
Terry Rozier	SG	36	'+175	A	CHA	POR	11th	stl+blk	1.5	0.9	1.2 - 0.76	0.89 - 0.85	27%	20%	0,1,2,0,0,1,2	48%	'+135	-165
Killian Hayes	PG	25	'+190	H	DET	LAC	12th	pts+reb	15.5	11.6	12.38 - 11.31	11.83 - 11.25	26%	20%	14,8,15,12,32,8,6	8%	-105	-125
Demar Derozan	SF	35	-300	H	CHI	HOU	29th	3ptm	0.5	0.4	0.69 - 0.22	0.41 - 0.43	26%	20%	0,0,2,0,0,0,1	45%	'+140	-175
Patrick Williams	PF	27	-300	H	CHI	HOU	2nd	pts	11.5	9.5	10.23 - 9.06	8.35 - 11.0	26%	20%	11,6,13,10,11,8,16	22%	'+100	-130
Damian Lillard	PG	34	-205	H	POR	CHA	21st	ast	8.5	7.0	6.67 - 7.62	7.0 - 7.1	25%	20%	8,6,10,3,8,3,8	19%	'+115	-145
Lamelo Ball	PG	33	'+175	A	CHA	POR	25th	stl	1.5	0.9	0.0 - 1.17	0.8 - 1.0	25%	20%	2,0,1,1,0,2,0	50%	'+105	-135
Killian Hayes	PG	25	'+190	H	DET	LAC	13th	3ptm	1.5	1.0	1.25 - 0.92	1.11 - 0.88	24%	20%	0,0,0,1,5,1,0	17%	'+180	-220
Patrick Williams	PF	27	-300	H	CHI	HOU	27th	reb	5.5	3.9	4.0 - 3.78	4.24 - 3.43	23%	20%	8,3,2,1,2,7,3	26%	'+120	-150
Isaiah Stewart	C	27	'+190	H	DET	LAC	23rd	stl	0.5	0.3	0.67 - 0.24	0.08 - 0.53	22%	20%	0,0,1,0,0,0,0	26%	'+205	-255
Anfernee Simons	SG	35	-205	H	POR	CHA	29th	blk	0.5	0.2	0.25 - 0.21	0.18 - 0.31	20%	20%	1,0,0,0,0,0,0	15%	'+330	-440
Gordon Hayward	SF	32	'+175	A	CHA	POR	10th	stl+blk	1.5	1.0	0.8 - 1.1	0.8 - 1.4	20%	20%	1,1,0,3,0,0,2	39%	'+140	-175
Darius Garland	PG	36	-125	H	CLE	BKN	2nd	blk	0.5	0.2	0.12 - 0.27	0.25 - 0.13	19%	20%	0,0,1,0,0,0,0	9%	'+575	-875
Jakob Poeltl	C	26	-190	H	SA	UTAH	25th	blk	1.5	1.0	1.71 - 0.62	0.73 - 1.17	17%	20%	0,2,0,1,0,0,0	51%	'+175	-215
Terry Rozier	SG	36	'+175	A	CHA	POR	3rd	blk	0.5	0.2	0.2 - 0.18	0.11 - 0.23	14%	20%	0,0,1,0,0,0,0	34%	'+330	-440
Lamelo Ball	PG	33	'+175	A	CHA	POR	30th	reb	6.5	4.4	4.5 - 4.33	6.2 - 1.33	12%	20%	11,5,5,2,1,1,4	44%	'+110	-140
Lamelo Ball	PG	33	'+175	A	CHA	POR	23rd	blk	0.5	0.1	0.0 - 0.17	0.0 - 0.33	12%	20%	0,0,0,1,0,0,0	31%	'+280	-360
Keldon Johnson	SF	32	-190	H	SA	UTAH	13th	blk	0.5	0.1	0.22 - 0.06	0.0 - 0.19	11%	20%	0,0,1,0,0,0,0	16%	'+350	-475
Lauri Markkanen	PF	33	'+160	A	UTAH	SA	30th	reb	7.5	8.1	8.61 - 7.36	8.47 - 7.6	56%	0%	5,5,6,4,5,11,6	29%	'+110	-140
Lauri Markkanen	PF	33	'+160	A	UTAH	SA	30th	reb+ast	9.5	10.2	11.17 - 8.86	10.18 - 10.13	56%	0%	6,6,7,6,8,12,8	26%	'+110	-140
Pj Washington	PF	31	'+175	A	CHA	POR	11th	pts+ast	14.5	16.6	19.25 - 15.7	13.47 - 20.43	48%	0%	13,5,11,14,7,11,19	42%	'+100	-130
Anfernee Simons	SG	35	-205	H	POR	CHA	17th	reb+ast	7.5	7.1	6.81 - 7.5	6.76 - 7.62	47%	0%	5,5,3,5,7,10,4	39%	'+120	-150
Lauri Markkanen	PF	33	'+160	A	UTAH	SA	8th	blk	0.5	0.6	0.72 - 0.43	0.47 - 0.73	44%	0%	0,0,0,0,0,1,1	40%	'+180	-220
Josh Hart	SG	34	-205	H	POR	CHA	4th	stl+blk	1.5	1.4	1.25 - 1.57	0.94 - 2.0	43%	0%	1,0,0,0,0,1,2	40%	'+140	-175
Jusuf Nurkic	C	28	-205	H	POR	CHA	29th	stl+blk	1.5	1.6	1.53 - 1.62	1.33 - 1.85	43%	0%	1,1,1,1,1,2,4	57%	-125	-105
Zach Lavine	SG	34	-300	H	CHI	HOU	30th	stl+blk	1.5	1.2	1.42 - 1.0	1.0 - 1.36	41%	0%	1,1,0,0,1,0,2	24%	'+120	-150
Josh Hart	SG	34	-205	H	POR	CHA	1st	stl	1.5	1.3	1.25 - 1.36	0.94 - 1.77	40%	0%	1,0,0,0,0,1,2	34%	'+185	-230
Zach Lavine	SG	34	-300	H	CHI	HOU	30th	stl	1.5	1.1	1.33 - 1.0	1.0 - 1.29	37%	0%	1,1,0,0,1,0,2	6%	'+150	-185
Ben Simmons	PG	27	'+105	A	BKN	CLE	8th	blk	0.5	0.5	0.46 - 0.67	0.67 - 0.4	36%	0%	0,0,0,0,0,0,0	0%	'+150	-185
