NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Jamal Murray	PG	33	-280	H	DEN	PHI	2nd	3ptm	2.5	2.6	2.98 - 1.89	2.44 - 2.79	50%	67%	80%	5,3,4,5,2,1,5,2,1,5	0%	-160	'+130
Deaaron Fox	PG	33	-280	H	SAC	MIN	20th	3ptm	1.5	1.7	1.56 - 1.88	1.93 - 1.47	50%	67%	60%	1,2,6,0,2,4,5,2,1,0	39%	-110	-120
Luka Doncic	PG	36	-240	A	DAL	IND	13th	3ptm	2.5	2.8	3.23 - 2.38	2.96 - 2.72	50%	47%	40%	7,2,2,1,4,1,7,3,4,1	64%	-140	'+110
Zach Lavine	SG	36	'+160	A	CHI	LAC	7th	3ptm	2.5	2.8	3.46 - 2.11	3.0 - 2.59	50%	53%	40%	2,6,0,2,3,4,2,3,3,5	49%	'+105	-135
Keegan Murray	SF	29	-280	H	SAC	MIN	22nd	3ptm	2.5	2.6	2.8 - 2.18	2.33 - 2.78	49%	60%	100%	6,3,3,6,5,3,2,1,0,2	0%	-125	-105
Herbert Jones	SF	28	-600	A	NO	POR	8th	3ptm	0.5	0.7	0.65 - 0.81	0.73 - 0.75	48%	40%	20%	0,0,0,2,0,2,2,0,0,3	49%	-125	-105
Jalen Green	SG	34	'+650	A	HOU	NY	9th	3ptm	2.5	2.5	2.88 - 2.42	2.36 - 2.67	46%	53%	80%	5,0,3,3,4,1,2,2,3,2	45%	'+105	-135
Brandon Ingram	SF	33	-600	A	NO	POR	8th	3ptm	1.5	1.6	1.44 - 1.74	1.68 - 1.5	46%	47%	60%	3,1,2,1,3,1,0,2,0,1	33%	-120	-110
Nikola Vucevic	C	33	'+160	A	CHI	LAC	12th	3ptm	1.5	1.5	1.44 - 1.61	1.76 - 1.3	46%	27%	0%	0,1,0,1,0,2,0,4,2,0	39%	'+145	-180
Jaden Ivey	PG	30	'+600	H	DET	MIL	9th	3ptm	1.5	1.5	1.2 - 1.55	1.39 - 1.55	45%	67%	100%	2,2,2,2,2,3,0,1,2,0	0%	-165	'+135
Tyrese Maxey	PG	33	'+235	A	PHI	DEN	16th	3ptm	2.5	2.6	2.75 - 2.42	3.07 - 2.19	45%	73%	80%	7,4,4,2,5,3,5,2,1,4	24%	-130	'+100
Harrison Barnes	SF	32	-280	H	SAC	MIN	22nd	3ptm	1.5	1.7	1.82 - 1.41	1.53 - 1.79	43%	60%	100%	2,2,2,2,2,1,2,3,1,0	52%	-120	-110
Chris Paul	PG	31	'+240	A	PHX	UTAH	18th	3ptm	1.5	1.5	1.78 - 1.31	1.52 - 1.58	43%	53%	60%	2,1,2,2,0,0,0,2,4,2	31%	-105	-125
Jaden Mcdaniels	PF	30	'+235	A	MIN	SAC	18th	3ptm	1.5	1.3	1.49 - 1.17	1.33 - 1.33	43%	53%	60%	0,1,2,4,4,2,1,0,1,3	32%	-110	-120
Aaron Nesmith	SF	24	'+200	H	IND	DAL	9th	3ptm	1.5	1.5	1.71 - 1.34	1.21 - 1.81	42%	47%	20%	1,0,1,0,4,6,2,0,2,0	31%	-155	'+125
Kyle Anderson	SF	27	'+235	A	MIN	SAC	12th	3ptm	0.5	0.6	0.78 - 0.43	0.5 - 0.72	39%	47%	60%	1,1,1,0,0,0,1,1,0,3	40%	-115	-115
Torrey Craig	SF	25	'+240	A	PHX	UTAH	7th	3ptm	1.5	1.3	1.32 - 1.3	1.39 - 1.23	38%	40%	60%	2,0,4,1,3,2,0,0,1,1	31%	'+150	-185
Nicolas Batum	PF	21	-190	H	LAC	CHI	22nd	3ptm	1.5	1.6	1.54 - 1.59	1.88 - 1.27	38%	40%	40%	4,4,1,1,1,2,0,0,0,3	36%	-110	-120
Kelly Olynyk	PF	28	-285	H	UTAH	PHX	2nd	3ptm	1.5	1.4	1.39 - 1.35	1.56 - 1.17	35%	33%	40%	0,2,0,4,0,1,2,1,0,1	48%	'+110	-140
Kawhi Leonard	SF	33	-190	H	LAC	CHI	24th	3ptm	2.5	1.9	2.03 - 1.71	1.76 - 2.04	35%	53%	40%	0,3,2,2,3,3,1,3,2,3	32%	'+100	-130
Jonas Valanciunas	C	24	-600	A	NO	POR	25th	3ptm	0.5	0.5	0.49 - 0.53	0.54 - 0.47	34%	33%	60%	1,0,1,1,0,0,0,1,0,1	45%	'+140	-175
Demar Derozan	SF	36	'+160	A	CHI	LAC	5th	3ptm	0.5	0.6	0.79 - 0.42	0.64 - 0.59	33%	47%	60%	2,0,0,2,2,4,2,0,1,1	45%	-115	-115
Bobby Portis	F	25	-850	A	MIL	DET	13th	3ptm	1.5	1.2	1.1 - 1.33	1.06 - 1.29	32%	27%	40%	1,0,3,2,0,1,0,2,3,0	44%	'+135	-165
Domantas Sabonis	PF	34	-280	H	SAC	MIN	20th	3ptm	0.5	0.4	0.43 - 0.32	0.23 - 0.54	32%	33%	20%	1,0,0,0,0,0,0,1,0,0	39%	'+195	-240
Andrew Nembhard	PG	27	'+200	H	IND	DAL	1st	3ptm	1.5	1.2	1.6 - 0.95	1.32 - 1.13	31%	47%	60%	2,0,3,0,2,4,1,2,2,1	0%	-125	-105
Grayson Allen	SG	27	-850	A	MIL	DET	19th	3ptm	2.5	2.1	2.12 - 2.06	1.76 - 2.43	31%	47%	40%	3,5,2,0,2,2,3,0,3,6	42%	'+120	-150
Jevon Carter	PG	22	-850	A	MIL	DET	19th	3ptm	2.5	1.7	1.7 - 1.57	2.16 - 1.16	28%	47%	40%	0,3,0,3,1,3,1,3,1,4	19%	-110	-120
Trey Murphy Iii	SG	30	-600	A	NO	POR	25th	3ptm	3.5	2.5	3.35 - 1.73	2.31 - 2.71	25%	40%	60%	10,4,3,3,4,4,9,2,3,4	25%	'+135	-165
Killian Hayes	PG	27	'+600	H	DET	MIL	9th	3ptm	1.5	1.1	1.0 - 1.08	1.09 - 1.03	25%	13%	20%	1,2,1,0,0,0,0,0,0,1	17%	'+185	-230
Marvin Bagley Iii	PF	23	'+600	H	DET	MIL	27th	3ptm	0.5	0.4	0.17 - 0.43	0.42 - 0.35	25%	20%	20%	0,4,0,0,0,0,0,1,0,0	0%	-115	-115
Ochai Agbaji	G	19	-285	H	UTAH	PHX	18th	3ptm	2.5	1.3	1.42 - 1.17	1.55 - 1.11	22%	47%	60%	3,0,2,6,4,1,2,4,1,1	0%	'+120	-150
Josh Okogie	SF	17	'+240	A	PHX	UTAH	7th	3ptm	1.5	0.9	0.78 - 0.97	0.82 - 0.94	22%	47%	40%	2,0,0,1,2,0,2,3,1,0	17%	'+150	-185
Khris Middleton	SF	24	-850	A	MIL	DET	18th	3ptm	2.5	1.6	1.73 - 1.14	1.54 - 1.62	21%	27%	40%	1,1,5,0,5,3,1,1,0,3	33%	'+110	-140
Alperen Sengun	C	28	'+650	A	HOU	NY	18th	3ptm	0.5	0.2	0.29 - 0.2	0.26 - 0.18	21%	20%	20%	0,0,0,0,1,0,0,0,0,0	31%	'+275	-355
Talen Horton Tucker	SG	19	-285	H	UTAH	PHX	18th	3ptm	1.5	0.8	0.72 - 0.84	0.91 - 0.63	20%	40%	0%	1,0,1,0,1,1,2,2,1,2	13%	'+135	-165
Shaedon Sharpe	SG	20	'+450	H	POR	NO	13th	3ptm	2.5	1.1	1.16 - 1.1	1.17 - 1.08	14%	27%	60%	3,4,4,2,0,2,2,0,3,0	0%	-140	'+110
Deandre Ayton	C	30	'+240	A	PHX	UTAH	27th	3ptm	0.5	0.1	0.07 - 0.16	0.12 - 0.1	10%	0%	0%	0,0,0,0,0,0,0,0,0,0	12%	'+1100	-2500
Isaiah Jackson	SF	15	'+200	H	IND	DAL	9th	3ptm	0.5	0.0	0.0 - 0.06	0.03 - 0.04	4%	7%	0%	0,0,0,0,0,0,0,0,0,0	11%	'+750	-1300
Drew Eubanks	PF	19	'+450	H	POR	NO	5th	3ptm	0.5	0.0	0.03 - 0.05	0.0 - 0.08	4%	0%	0%	0,0,0,0,0,0,0,0,0,0	7%	'+750	-1300
