TEAM,POS,PLAYER,Snaps,Snap%,TGT,TGT%,ATT,Ru%,INVL,USG,RuYd,Ru%,ReYd,Re%,AirYd,Air%,TD,TD%,DOM,PPR,Tm PPR,PPR%
HOU,WR,DeAndre Carter,13,22%,2,6%,0,0%,15%,4%,0,0%,8,3%,16,6%,0,0%,3%,1.8,66.4,3%
IND,WR,T.Y. Hilton,59,80%,9,20%,0,0%,15%,13%,0,0%,53,15%,109,38%,0,0%,14%,9.3,92.8,10%
JAC,WR,Keelan Cole,33,66%,5,25%,0,0%,15%,12%,0,0%,47,27%,31,35%,1,33%,31%,15.7,61.5,26%
NO,WR,Emmanuel Sanders,33,49%,5,17%,0,0%,15%,8%,0,0%,15,8%,24,15%,1,33%,17%,10.5,61.3,17%
PHI,WR,John Hightower,27,40%,4,10%,0,0%,15%,7%,0,0%,-2,-1%,32,6%,0,0%,1%,0.8,68.5,1%
LAR,WR,Robert Woods,61,84%,8,29%,1,3%,15%,13%,14,9%,105,38%,18,15%,0,0%,22%,17.9,73.3,24%
CAR,WR,Robby Anderson,55,82%,8,24%,0,0%,15%,13%,0,0%,115,43%,82,29%,1,33%,37%,25.5,79.2,32%
GB,WR,Marquez Valdes-Scantling,42,54%,6,15%,0,0%,14%,8%,0,0%,96,26%,129,39%,1,20%,26%,19.6,114.2,17%
CHI,WR,Darnell Mooney,21,32%,3,8%,0,0%,14%,5%,0,0%,38,16%,25,8%,0,0%,9%,6.8,74.5,9%
MIN,WR,Tajae Sharpe,7,13%,1,4%,0,0%,14%,2%,0,0%,0,0%,35,13%,0,0%,2%,0.0,84.9,0%
WAS,WR,Dontrelle Inman,36,51%,5,17%,0,0%,14%,8%,0,0%,21,12%,70,28%,0,0%,11%,4.1,59.1,7%
SEA,WR,Tyler Lockett,58,94%,8,23%,0,0%,14%,15%,0,0%,92,29%,77,36%,0,0%,20%,17.2,98.7,17%
