TEAM,POS,PLAYER,Snaps,Snap%,TGT,TGT%,ATT,Ru%,INVL,USG,RuYd,Ru%,ReYd,Re%,AirYd,Air%,TD,TD%,DOM,PPR,Tm PPR,PPR%
DAL,RB,Ezekiel Elliott,63,88%,4,11%,22,81%,41%,41%,96,71%,31,12%,7,3%,2,100%,54%,27.7,74.2,37%
NYG,RB,Saquon Barkley,59,87%,9,23%,15,75%,41%,41%,6,21%,60,22%,34,14%,0,0%,14%,12.6,66.6,19%
LAC,RB,Austin Ekeler,50,68%,1,3%,19,49%,40%,29%,84,54%,3,1%,-5,-2%,0,0%,16%,9.7,57.6,17%
GB,RB,A.J. Dillon,5,6%,0,0%,2,6%,40%,3%,14,9%,0,0%,0,0%,0,0%,2%,1.4,114.2,1%
ARI,RB,Chase Edmonds,28,34%,5,14%,6,17%,39%,15%,26,14%,19,8%,2,1%,1,33%,18%,13.5,69.6,19%
IND,RB,Nyheim Hines,39,53%,8,17%,7,32%,38%,22%,28,32%,45,12%,2,1%,2,100%,44%,27.3,92.8,29%
SEA,RB,Travis Homer,13,21%,2,6%,3,15%,38%,9%,-1,-1%,4,1%,-4,-2%,0,0%,0%,2.3,98.7,2%
NE,RB,Rex Burkhead,19,30%,0,0%,7,17%,37%,11%,32,15%,0,0%,0,0%,0,0%,6%,3.2,50.7,6%
MIA,RB,Matt Breida,14,23%,0,0%,5,19%,36%,9%,22,25%,0,0%,0,0%,0,0%,5%,2.2,52,4%
GB,RB,Jamaal Williams,31,40%,4,10%,7,22%,35%,15%,21,13%,21,6%,-6,-2%,0,0%,5%,8.2,114.2,7%
DET,RB,Kerryon Johnson,20,26%,0,0%,7,24%,35%,10%,14,10%,0,0%,0,0%,0,0%,2%,1.4,77.2,2%
MIA,RB,Myles Gaskin,39,63%,4,13%,9,33%,33%,23%,40,46%,26,14%,-2,-1%,0,0%,16%,10.6,52,20%
