TEAM,POS,PLAYER,Snaps,Snap%,TGT,TGT%,ATT,Ru%,INVL,USG,RuYd,Ru%,ReYd,Re%,AirYd,Air%,TD,TD%,DOM,PPR,Tm PPR,PPR%
ATL,RB,Todd Gurley,36,46%,5,10%,14,70%,53%,26%,56,80%,1,0%,4,1%,1,33%,18%,13.7,107.1,13%
CLE,RB,Nick Chubb,35,48%,1,3%,10,38%,31%,18%,60,43%,6,3%,6,2%,0,0%,13%,7.6,59.6,13%
CHI,RB,David Montgomery,29,45%,3,8%,13,46%,55%,25%,64,43%,10,4%,-6,-2%,0,0%,13%,8.4,74.5,11%
NYJ,RB,Le'Veon Bell,32,57%,2,6%,6,40%,25%,17%,14,27%,32,15%,18,7%,0,0%,11%,6.6,59.1,11%
WAS,RB,Antonio Gibson,18,26%,2,7%,9,25%,61%,17%,36,45%,8,4%,-7,-3%,0,0%,11%,6.4,59.1,11%
PHI,RB,Boston Scott,38,56%,2,5%,9,53%,29%,19%,35,61%,19,7%,-6,-1%,0,0%,11%,7.4,68.5,11%
IND,RB,Marlon Mack,11,15%,3,7%,4,18%,64%,10%,26,30%,30,8%,-1,0%,0,0%,8%,8.6,92.8,9%
CHI,RB,Tarik Cohen,30,46%,2,6%,7,25%,30%,14%,41,28%,6,2%,-5,-2%,0,0%,8%,6.7,74.5,9%
SF,RB,Kyle Juszczyk,36,58%,2,6%,1,4%,8%,5%,7,6%,41,16%,20,9%,0,0%,8%,5.8,68.3,8%
SEA,RB,Carlos Hyde,21,34%,0,0%,7,35%,33%,13%,23,27%,0,0%,0,0%,1,20%,10%,8.3,98.7,8%
NE,RB,J.J. Taylor,9,14%,1,5%,4,10%,56%,8%,28,13%,4,3%,-4,-4%,0,0%,6%,4.2,50.7,8%
LV,RB,Devontae Booker,8,13%,3,11%,4,13%,88%,12%,29,22%,23,10%,1,1%,0,0%,9%,8.2,99.15,8%
NO,RB,Latavius Murray,23,34%,1,3%,15,44%,70%,25%,48,59%,0,0%,0,0%,0,0%,11%,4.8,61.3,8%
LAR,RB,Cam Akers,24,33%,1,4%,14,35%,63%,22%,39,25%,4,1%,1,1%,0,0%,7%,5.3,73.3,7%
GB,RB,Jamaal Williams,31,40%,4,10%,7,22%,35%,15%,21,13%,21,6%,-6,-2%,0,0%,5%,8.2,114.2,7%
DAL,RB,Tony Pollard,10,14%,3,8%,2,7%,50%,8%,10,7%,22,8%,-3,-1%,0,0%,5%,5.2,74.2,7%
