"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Adam Thielen","WR","MIN",80,57,713,721,260,4,9,0.99,0.45,0.31,0.78,152.3
"2","Davante Adams","WR","GB",70,46,541,738,201,6,10.5,0.73,0.33,0.27,0.64,136.1
"3","DeAndre Hopkins","WR","HOU",64,45,674,926,186,3,14.5,0.73,0.42,0.29,0.73,129.7
"4","Tyreek Hill","WR","KC",50,32,529,753,185,6,15.1,0.7,0.35,0.24,0.61,122.3
"5","Antonio Brown","WR","PIT",71,38,458,734,236,6,10.3,0.62,0.36,0.27,0.66,119.8
"6","Michael Thomas","WR","NO",51,47,529,368,217,3,7.2,1.44,0.28,0.27,0.6,117.9
"7","Julio Jones","WR","ATL",69,44,707,1018,189,0,14.8,0.69,0.47,0.3,0.78,115.8
"8","A.J. Green","WR","CIN",55,33,494,664,119,5,12.1,0.74,0.38,0.24,0.63,112.4
"9","Robert Woods","WR","LA",49,34,503,570,198,3,11.6,0.88,0.36,0.26,0.63,109.9
"10","Emmanuel Sanders","WR","DEN",52,39,458,443,167,2,8.5,1.03,0.25,0.23,0.51,108.1
"11","Tyler Boyd","WR","CIN",52,37,455,462,166,4,8.9,0.98,0.26,0.23,0.53,107
"12","Stefon Diggs","WR","MIN",60,40,435,532,222,3,8.9,0.82,0.33,0.23,0.58,105.8
"13","JuJu Smith-Schuster","WR","PIT",63,42,517,508,209,2,8.1,1.02,0.25,0.24,0.53,105.7
"14","Odell Beckham","WR","NYG",68,44,501,695,159,1,10.2,0.72,0.38,0.3,0.71,101
"15","Cooper Kupp","WR","LA",40,28,402,316,237,5,7.9,1.27,0.2,0.21,0.45,99.5
"16","Calvin Ridley","WR","ATL",29,22,349,387,122,6,13.3,0.9,0.18,0.13,0.32,94.2
"17","Golden Tate","WR","DET",51,33,422,379,219,3,7.4,1.11,0.24,0.26,0.56,94.1
"18","Tyler Lockett","WR","SEA",31,23,378,374,114,5,12.1,1.01,0.26,0.19,0.47,92.6
"19","Keenan Allen","WR","LAC",53,37,436,389,176,1,7.3,1.12,0.26,0.27,0.59,91.2
"20","Mike Evans","WR","TB",41,31,415,611,44,3,14.9,0.68,0.31,0.22,0.55,90.5
"21","Kenny Golladay","WR","DET",41,28,435,517,163,3,12.6,0.84,0.33,0.21,0.55,89.5
"22","Brandin Cooks","WR","LA",40,29,503,476,157,1,11.9,1.06,0.35,0.25,0.62,86.9
"23","Albert Wilson","WR","MIA",34,24,362,252,323,4,7.4,1.44,0.18,0.19,0.41,85.4
"24","John Brown","WR","BAL",47,21,424,924,76,3,19.7,0.46,0.39,0.17,0.53,81.8
"25","DeSean Jackson","WR","TB",30,20,465,521,120,2,17.4,0.89,0.26,0.16,0.43,79.2
"26","Michael Crabtree","WR","BAL",56,31,351,560,61,2,10,0.63,0.24,0.21,0.48,78.1
"27","Demaryius Thomas","WR","DEN",41,27,324,456,100,3,11.1,0.71,0.25,0.18,0.45,77.4
"28","Dede Westbrook","WR","JAC",38,27,361,279,208,2,7.3,1.29,0.17,0.16,0.36,75.6
"29","Sterling Shepard","WR","NYG",42,30,331,337,125,2,8,0.98,0.18,0.18,0.4,75.1
"30","Taylor Gabriel","WR","CHI",34,28,310,372,109,2,10.9,0.83,0.28,0.21,0.51,74.6
"31","Jarvis Landry","WR","CLE",63,30,374,660,111,1,10.5,0.57,0.29,0.27,0.61,73.4
"32","Jordy Nelson","WR","OAK",30,22,323,259,148,3,8.6,1.25,0.18,0.13,0.32,72.3
"33","Corey Davis","WR","TEN",50,27,385,520,158,1,10.4,0.74,0.39,0.3,0.72,71.5
"34","Will Fuller","WR","HOU",31,21,311,436,78,3,14.1,0.71,0.25,0.17,0.43,70.1
"35","Chris Godwin","WR","TB",31,21,249,349,71,4,11.3,0.71,0.18,0.17,0.38,69.9
"36","Nelson Agholor","WR","PHI",47,31,303,423,154,1,9,0.72,0.23,0.2,0.46,69.1
"37","Willie Snead","WR","BAL",44,31,321,372,145,1,8.5,0.86,0.16,0.16,0.35,69.1
"38","Mohamed Sanu","WR","ATL",32,21,295,298,155,3,9.3,0.99,0.14,0.14,0.31,68.1
"39","Devin Funchess","WR","CAR",36,23,312,473,48,2,13.1,0.66,0.35,0.21,0.56,66.2
"40","Cole Beasley","WR","DAL",34,25,278,256,83,2,7.5,1.09,0.19,0.2,0.43,64.8
"41","Keelan Cole","WR","JAC",37,25,336,354,107,1,9.6,0.95,0.22,0.16,0.39,64.6
"42","Christian Kirk","WR","ARI",31,25,311,250,118,1,8.1,1.24,0.19,0.18,0.41,63.3
"43","Tyrell Williams","WR","LAC",22,15,288,346,80,3,15.7,0.83,0.23,0.11,0.33,63.2
"44","Allen Robinson","WR","CHI",37,23,268,453,51,2,12.2,0.59,0.34,0.23,0.58,61.8
"45","Kenny Stills","WR","MIA",26,15,276,503,63,3,19.3,0.55,0.36,0.15,0.47,60.6
"46","Mike Williams","WR","LAC",26,16,253,415,39,3,16,0.61,0.28,0.13,0.4,60.3
"47","Sammy Watkins","WR","KC",33,22,272,247,151,1,7.5,1.1,0.12,0.16,0.32,60.2
"48","Geronimo Allison","WR","GB",29,19,289,381,99,2,13.1,0.76,0.28,0.18,0.46,59.9
"49","Ryan Grant","WR","IND",36,26,270,311,66,1,8.6,0.87,0.15,0.13,0.29,59
"50","Marvin Jones","WR","DET",33,16,241,499,59,3,15.1,0.48,0.32,0.17,0.48,58.1
"51","Robby Anderson","WR","NYJ",26,14,270,387,78,3,14.9,0.7,0.26,0.15,0.4,58.1
"52","Alshon Jeffery","WR","PHI",29,18,218,319,82,3,11,0.68,0.35,0.24,0.61,57.8
"53","Chester Rogers","WR","IND",42,27,254,259,148,1,6.2,0.98,0.13,0.15,0.31,57.4
"54","Amari Cooper","WR","OAK",32,22,280,337,97,1,10.5,0.83,0.24,0.14,0.37,56.9
"55","Donte Moncrief","WR","JAC",41,18,249,531,94,2,13,0.47,0.32,0.17,0.49,54.9
"56","T.Y. Hilton","WR","IND",36,19,272,352,100,1,9.8,0.77,0.29,0.19,0.49,52.2
"57","Quincy Enunwa","WR","NYJ",41,21,245,293,171,1,7.1,0.84,0.2,0.23,0.49,51.5
"58","Phillip Dorsett","WR","NE",28,19,190,351,66,2,12.5,0.54,0.24,0.16,0.4,50
"59","Tavon Austin","WR","DAL",11,8,194,203,57,3,18.5,0.96,0.15,0.06,0.2,49.8
"60","Terrelle Pryor","WR","NYJ",22,14,235,272,61,2,12.4,0.86,0.18,0.12,0.32,49.5
"61","Paul Richardson","WR","WAS",24,16,212,292,42,2,12.2,0.73,0.24,0.14,0.38,49.4
"62","Rashard Higgins","WR","CLE",24,17,251,267,49,1,11.1,0.94,0.15,0.13,0.3,48.1
"63","Chris Hogan","WR","NE",22,14,215,298,58,2,13.5,0.72,0.16,0.1,0.27,47.5
"64","Keke Coutee","WR","HOU",27,20,193,138,128,1,5.1,1.4,0.16,0.24,0.47,45.3
"65","Larry Fitzgerald","WR","ARI",35,22,215,336,46,0,9.6,0.64,0.26,0.21,0.49,43.5
"66","Danny Amendola","WR","MIA",29,23,204,194,75,0,6.7,1.05,0.14,0.16,0.34,43.4
"67","Laquon Treadwell","WR","MIN",29,19,180,153,71,1,5.3,1.18,0.1,0.11,0.23,43
"68","Marquise Goodwin","WR","SF",13,8,160,205,45,3,15.8,0.78,0.2,0.11,0.3,42.7
"69","Jakeem Grant","WR","MIA",20,13,176,169,114,2,8.4,1.04,0.12,0.11,0.25,42.6
"70","Pierre Garcon","WR","SF",40,20,225,403,84,0,10.1,0.56,0.28,0.2,0.5,42.5
"71","Randall Cobb","WR","GB",27,17,195,188,138,1,7,1.04,0.2,0.22,0.47,42.5
"72","Taywan Taylor","WR","TEN",26,18,182,300,92,1,11.5,0.61,0.22,0.16,0.39,42.2
"73","Zay Jones","WR","BUF",29,16,194,345,21,1,11.9,0.56,0.21,0.17,0.41,41.4
"74","Antonio Callaway","WR","CLE",39,15,186,572,96,1,14.7,0.33,0.25,0.17,0.43,40.3
"75","Marquez Valdes-Scantling","WR","GB",21,12,212,244,78,1,11.6,0.87,0.11,0.08,0.2,39.2
"76","Ted Ginn","WR","NO",21,11,133,338,39,2,16.1,0.39,0.29,0.13,0.39,38.9
"77","Martavis Bryant","WR","OAK",23,15,226,307,104,0,13.3,0.74,0.25,0.12,0.35,38
"78","Cordarrelle Patterson","WR","NE",17,13,88,32,86,2,1.9,2.75,0.02,0.08,0.13,37
"79","DJ Moore","WR","CAR",14,10,162,185,96,1,13.2,0.88,0.14,0.08,0.22,36.8
"80","Courtland Sutton","WR","DEN",31,13,175,383,50,1,12.4,0.46,0.21,0.14,0.35,36.5
"81","David Moore","WR","SEA",9,6,119,134,27,3,14.9,0.89,0.14,0.09,0.24,36.4
"82","Jamison Crowder","WR","WAS",20,13,134,184,64,1,9.2,0.73,0.19,0.15,0.36,35.9
"83","Torrey Smith","WR","CAR",21,12,110,282,24,2,13.4,0.39,0.21,0.12,0.33,35
"84","Seth Roberts","WR","OAK",21,15,138,158,67,1,7.5,0.87,0.13,0.11,0.25,34.8
"85","Adam Humphries","WR","TB",23,16,183,108,117,0,4.7,1.69,0.05,0.12,0.22,34.7
"86","Trent Taylor","WR","SF",23,16,125,124,75,1,5.4,1.01,0.1,0.13,0.27,34.5
"87","Zach Pascal","WR","IND",27,14,124,293,35,1,10.9,0.42,0.14,0.09,0.24,33.2
"88","Jermaine Kearse","WR","NYJ",27,16,165,232,60,0,8.6,0.71,0.18,0.17,0.38,32.5
"89","Brandon Marshall","WR","SEA",24,12,144,263,25,1,11,0.55,0.18,0.15,0.35,32.4
"90","Chris Conley","WR","KC",17,11,89,158,36,2,9.3,0.56,0.07,0.08,0.17,31.9
"91","Kendrick Bourne","WR","SF",18,9,105,96,43,2,5.3,1.09,0.07,0.09,0.18,31.5
"92","Jarius Wright","WR","CAR",21,13,120,152,56,1,7.2,0.79,0.11,0.12,0.27,31
"93","Kelvin Benjamin","WR","BUF",32,10,146,553,22,1,17.3,0.26,0.34,0.19,0.52,30.6
"94","Anthony Miller","WR","CHI",15,9,89,154,42,2,10.3,0.58,0.14,0.11,0.27,29.9
"95","Julian Edelman","WR","NE",16,11,111,111,42,1,6.9,1,0.18,0.21,0.44,28.8
"96","Tajae Sharpe","WR","TEN",15,9,121,206,21,1,13.7,0.59,0.15,0.09,0.24,28.7
"97","Josh Gordon","WR","NE",15,9,124,178,32,1,11.9,0.7,0.2,0.13,0.34,27.4
"98","Ryan Switzer","WR","PIT",15,13,67,46,28,1,3.1,1.46,0.02,0.06,0.1,27.1
"99","John Ross","WR","CIN",15,7,79,200,24,2,13.3,0.4,0.18,0.1,0.27,26.6
"100","Cameron Meredith","WR","NO",10,9,114,92,38,1,9.2,1.24,0.14,0.09,0.24,26.4
"101","Jaron Brown","WR","SEA",10,7,73,170,7,2,17,0.43,0.13,0.07,0.2,26.3
"102","Doug Baldwin","WR","SEA",16,11,131,200,28,0,12.5,0.66,0.21,0.16,0.39,24.1
"103","Deonte Thompson","WR","DAL",18,13,108,169,29,0,9.4,0.64,0.15,0.13,0.3,23.8
"104","Bruce Ellington","WR","HOU",12,8,92,129,24,1,10.8,0.71,0.1,0.11,0.23,23.2
"105","Jordan Matthews","WR","PHI",9,6,107,90,46,1,10,1.19,0.08,0.06,0.14,22.7
"106","Allen Hurns","WR","DAL",22,8,84,272,13,1,12.4,0.31,0.2,0.13,0.33,22.4
