"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Austin Ekeler","RB","LAC",13,12,163,0,165,2,0,Inf,0,0.19,0.28,64.7
"2","Sammy Watkins","WR","KC",24,15,247,238,175,3,9.9,1.04,0.33,0.31,0.69,57.7
"3","John Ross","WR","CIN",20,11,270,237,146,3,11.8,1.14,0.4,0.22,0.6,56
"4","Dalvin Cook","RB","MIN",5,5,46,-3,49,0,-0.6,-15.33,-0.01,0.12,0.17,54.1
"5","Christian McCaffrey","RB","CAR",17,12,97,29,69,0,1.7,3.34,0.04,0.19,0.31,50.2
"6","Mark Andrews","TE","BAL",17,16,220,169,64,2,9.9,1.3,0.26,0.27,0.59,50
"7","Marquise Brown","WR","BAL",18,12,233,249,113,2,13.8,0.94,0.38,0.29,0.7,47.3
"8","Emmanuel Sanders","WR","DEN",20,16,184,160,60,2,8,1.15,0.33,0.25,0.6,46.4
"9","Derrick Henry","RB","TEN",5,3,87,-14,98,1,-2.8,-6.21,-0.05,0.1,0.11,46.3
"10","Keenan Allen","WR","LAC",25,16,221,329,34,1,13.2,0.67,0.55,0.36,0.92,44.1
"11","Le'Veon Bell","RB","NYJ",19,16,93,-21,116,1,-1.1,-4.43,-0.05,0.26,0.36,44.1
"12","D.J. Chark","WR","JAC",13,11,201,179,49,2,13.8,1.12,0.42,0.2,0.59,43.1
"13","T.Y. Hilton","WR","IND",15,12,130,138,61,3,9.2,0.94,0.45,0.27,0.72,43
"14","Julio Jones","WR","ATL",21,11,137,238,67,3,11.3,0.58,0.31,0.24,0.57,42.7
"15","Odell Beckham","WR","CLE",21,13,232,263,104,1,12.5,0.88,0.39,0.29,0.7,42.2
"16","Michael Thomas","WR","NO",26,20,212,222,57,0,8.5,0.95,0.41,0.33,0.78,41.2
"17","Calvin Ridley","WR","ATL",16,12,169,237,31,2,14.8,0.71,0.31,0.18,0.49,40.9
"18","Larry Fitzgerald","WR","ARI",24,13,217,273,61,1,11.4,0.79,0.31,0.26,0.6,40.7
"19","Terry McLaurin","WR","WAS",16,10,187,277,47,2,17.3,0.68,0.51,0.2,0.65,40.7
"20","Chris Godwin","WR","TB",15,11,174,179,62,2,11.9,0.97,0.29,0.25,0.57,40.4
"21","Saquon Barkley","RB","NYG",13,7,47,-5,47,0,-0.4,-9.4,-0.01,0.14,0.2,40.4
"22","DeAndre Hopkins","WR","HOU",21,13,151,306,31,2,14.6,0.49,0.44,0.36,0.84,40.1
"23","Kenny Golladay","WR","DET",19,12,159,295,23,2,15.5,0.54,0.36,0.25,0.63,39.9
"24","John Brown","WR","BUF",18,14,195,243,53,1,13.5,0.8,0.41,0.27,0.69,39.5
"25","Evan Engram","TE","NYG",22,17,164,132,66,1,6,1.24,0.2,0.24,0.49,39.4
"26","Tyrell Williams","WR","OAK",14,11,151,201,32,2,14.4,0.75,0.43,0.22,0.63,38.1
"27","Chris Carson","RB","SEA",10,9,61,-42,104,1,-4.2,-1.45,-0.09,0.18,0.21,37.7
"28","Amari Cooper","WR","DAL",14,10,150,147,32,2,10.5,1.02,0.26,0.23,0.52,37
"29","Tyler Boyd","WR","CIN",22,18,182,141,66,0,6.4,1.29,0.24,0.24,0.52,36.5
"30","Demarcus Robinson","WR","KC",8,7,172,158,20,2,19.8,1.09,0.22,0.1,0.31,36.2
"31","Michael Gallup","WR","DAL",15,13,226,193,91,0,12.9,1.17,0.35,0.24,0.61,35.6
"32","Travis Kelce","TE","KC",17,10,195,168,68,1,9.9,1.16,0.23,0.22,0.49,35.5
"33","DeSean Jackson","WR","PHI",9,8,154,142,15,2,15.8,1.08,0.41,0.23,0.64,35.4
"34","Josh Jacobs","RB","OAK",1,1,28,4,24,0,4,7,0.01,0.02,0.03,34.2
"35","David Johnson","RB","ARI",8,7,55,40,17,1,5,1.38,0.05,0.09,0.16,34.1
"36","Ezekiel Elliott","RB","DAL",4,3,19,-4,27,0,-1,-4.75,-0.01,0.06,0.09,33.3
"37","Chris Conley","WR","JAC",12,10,170,166,39,1,13.8,1.02,0.39,0.18,0.54,33
"38","D.J. Moore","WR","CAR",24,16,165,210,39,0,8.8,0.79,0.27,0.27,0.59,32.5
"39","Mark Ingram","RB","BAL",2,2,30,19,11,0,9.5,1.58,0.03,0.03,0.07,32.4
"40","Phillip Dorsett","WR","NE",7,7,134,110,24,2,15.7,1.22,0.17,0.11,0.28,32.4
"41","Jamison Crowder","WR","NYJ",23,18,139,99,82,0,4.3,1.4,0.26,0.32,0.66,32.3
"42","Marlon Mack","RB","IND",3,2,12,-2,11,0,-0.7,-6,-0.01,0.05,0.08,31.7
"43","Nick Chubb","RB","CLE",8,7,46,22,40,0,2.8,2.09,0.03,0.11,0.19,31.3
"44","Alvin Kamara","RB","NO",11,8,87,57,73,0,5.2,1.53,0.1,0.14,0.28,30.9
"45","Delanie Walker","TE","TEN",12,9,94,109,26,2,9.1,0.86,0.37,0.23,0.6,30.4
"46","Aaron Jones","RB","GB",7,5,34,25,32,0,3.6,1.36,0.04,0.11,0.19,29.9
"47","Tyler Lockett","WR","SEA",14,11,123,149,41,1,10.6,0.83,0.33,0.25,0.61,29.3
"48","Cooper Kupp","WR","LA",19,12,166,114,100,0,6,1.46,0.25,0.28,0.6,29.2
"49","Raheem Mostert","RB","SF",5,4,68,-5,73,1,-1,-13.6,-0.01,0.09,0.13,29.1
"50","Vance McDonald","TE","PIT",11,9,78,44,46,2,4,1.77,0.06,0.14,0.25,28.8
"51","D.K. Metcalf","WR","SEA",13,7,150,217,29,1,16.7,0.69,0.48,0.24,0.69,28
"52","Nelson Agholor","WR","PHI",16,10,118,207,34,1,12.9,0.57,0.27,0.18,0.46,27.8
"53","JuJu Smith-Schuster","WR","PIT",16,11,162,185,49,0,11.6,0.88,0.25,0.2,0.47,27.2
"54","Damien Williams","RB","KC",11,9,87,33,86,0,3,2.64,0.05,0.14,0.24,27.1
"55","Courtland Sutton","WR","DEN",15,11,160,177,49,0,11.8,0.9,0.36,0.19,0.53,27
"56","T.J. Hockenson","TE","DET",12,7,138,162,56,1,13.5,0.85,0.2,0.16,0.38,26.8
"57","Todd Gurley","RB","LA",5,4,8,-5,13,0,-1,-1.6,-0.01,0.07,0.1,26.8
"58","Devin Singletary","RB","BUF",6,5,28,-1,29,0,-0.2,-28,0,0.09,0.13,26.5
"59","Darren Waller","TE","OAK",15,13,133,87,84,0,5.8,1.53,0.19,0.23,0.48,26.3
