,,,,,,,,,,,
,,,,,,,,,,Revised,
, PPR Scoring,,,Week 13,,Peakedinhighskool,,,Date:,"December 02, 2020 07:41 America/New_York",
,Trade Value,Running Back,Trend (+/-),Wide Receiver,Trend (+/-),Tight End,Trend (+/-),Quarterback,Trend (+/-),Defense,Trend (+/-)
,2.5,,,,,,,Matthew Stafford,1,,
,2.5,,,,,,,Taysom Hill,0,,
,2.0,Adrian Peterson,1,Denzel Mims,3.5,,,Derek Carr,0,,
,2.0,Benny Snell Jr.,2.5,Michael Gallup,0.5,,,,,,
,2.0,Joshua Kelley,2,,,,,,,,
,1.5,Jerick McKinnon,-4,Breshad Perriman,1,,,,,,
,1.0,Mark Ingram II,0.5,Allen Lazard,-2,,,,,,
,1.0,,,John Brown,-5.5,,,,,,
,1.0,,,Sammy Watkins,1.5,,,,,,
,0.5,,,Nelson Agholor,1.5,,,Carson Wentz,-1.5,,
,0.5,,,,,,,Teddy Bridgewater,-0.5,,
