,,,,,,,,,,,
,Standard Scoring,,,,Week 9,,Peakedinhighskool,,,,Date: Rev1.01
,Tier,Position,Running Back,,Wide Receiver,,Tight End,,Quarterback,,Defense
,1,Value,Player,,Player,,Player,,Player,,Player
,,60.0,Todd Gurley,,,,,,,,
,2,53.0,Saquon Barkley,,,,,,,,
,,49.5,Melvin Gordon,,,,,,,,
,,48.0,Kareem Hunt,,,,,,,,
,,46.5,Alvin Kamara,,Antonio Brown,,,,,,
,,44.5,Ezekiel Elliott,,Adam Thielen,,,,,,
,3,40.0,Joe Mixon,,,,,,,,
,,38.0,,,DeAndre Hopkins,,,,,,
,,37.0,,,Davante Adams,,,,,,
,,34.0,,,Odell Beckham,,,,,,
,,32.5,Christian McCaffrey,,A.J. Green,,,,,,
,,32.5,James Conner,,Michael Thomas,,,,,,
,,32.0,,,Tyreek Hill,,,,,,
,,30.0,,,Julio Jones,,,,,,
,4,26.5,James White,,Mike Evans,,,,,,
,,25.5,David Johnson,,,,,,,,
,,25.0,,,,,Travis Kelce,,Patrick Mahomes,,
,,24.0,Adrian Peterson,,JuJu Smith-Schuster,,Zach Ertz,,,,
,,23.0,,,Stefon Diggs,,,,,,
,,22.0,Mark Ingram,,,,,,,,
,,21.5,Sony Michel,,,,,,,,
,,21.0,Marlon Mack,,Robert Woods,,,,,,
,,21.0,Phillip Lindsay,,Emmanuel Sanders,,,,,,
,,20.0,,,Brandin Cooks,,,,,,
,,19.5,Kerryon Johnson,,T.Y. Hilton,,,,,,
,,19.0,,,Alshon Jeffery,,Rob Gronkowski,,,,
,,18.5,Tarik Cohen,,,,,,,,
,5,18.0,,,Keenan Allen,,,,,,
,,18.0,,,Cooper Kupp,,,,,,
,,18.0,,,Tyler Boyd,,,,,,
,,17.0,Nick Chubb,,,,,,Aaron Rodgers,,
,,17.0,Tevin Coleman,,,,,,Cam Newton,,
,,15.5,Chris Carson,,Kenny Golladay,,,,,,
,,14.0,,,Julian Edelman,,,,Drew Brees,,
,,14.0,,,,,,,Tom Brady,,
,6,13.5,Jordan Howard,,Jarvis Landry,,,,Andrew Luck,,
,,13.0,Alex Collins,,John Brown,,,,Matt Ryan,,
,,12.5,Isaiah Crowell,,,,,,,,
,,12.5,Leonard Fournette,,,,,,,,
,,12.0,Aaron Jones,,Josh Gordon,,George Kittle,,,,
,,12.0,Lamar Miller,,,,,,,,
,,12.0,Le'Veon Bell,,,,,,Jared Goff,,
,,11.0,Kenyan Drake,,Golden Tate,,,,,,
,,11.0,LeSean McCoy,,Marvin Jones,,,,,,
,,10.0,Dalvin Cook,,Tyler Lockett,,Jared Cook,,,,
,,9.0,Matt Breida,,DeSean Jackson,,Trey Burton,,Carson Wentz,,
,,9.0,,,,,O.J. Howard,,Kirk Cousins,,
,,8.0,,,Courtland Sutton,,David Njoku,,Ben Roethlisberger,,
,,7.0,,,Devin Funchess,,Jimmy Graham,,Deshaun Watson,,
,,7.0,Dion Lewis,,Sammy Watkins,,,,Philip Rivers,,
,7,7.0,,,,,,,Russell Wilson,,
,,6.5,Royce Freeman,,,,,,,,
,,6.0,Austin Ekeler,,Amari Cooper,,Eric Ebron,,,,
,,6.0,,,Demaryius Thomas,,,,,,
,,6.0,,,Doug Baldwin,,,,,,
,,6.0,,,Michael Crabtree,,,,,,
,,6.0,,,Allen Robinson,,,,,,
,,5.5,Peyton Barber,,Calvin Ridley,,,,,,
,,5.0,,,Chris Godwin,,Greg Olsen,,Mitch Trubisky,,
,,5.0,,,Taylor Gabriel,,,,Andy Dalton,,
,,5.0,Latavius Murray,,Sterling Shepard,,,,,,
,,4.5,Chris Thompson,,Larry Fitzgerald,,,,,,
,,4.5,Doug Martin,,,,,,,,
,,4.0,Ito Smith,,Marquise Goodwin,,,,,,
,,4.0,Jalen Richard,,Corey Davis,,,,,,
,,4.0,T.J. Yeldon,,Geronimo Allison,,,,,,
,,3.5,Wendell Smallwood,,Christian Kirk,,Austin Hooper,,,,
,,3.0,,,Devante Parker,,Evan Engram,,Matthew Stafford,,
,,3.0,,,Jordy Nelson,,Jack Doyle,,,,
,,3.0,,,Mohamed Sanu,,Kyle Rudolph,,,,
,,2.0,Carlos Hyde,,Tre'Quan Smith,,,,Baker Mayfield,,
,,2.0,Duke Johnson,,,,Jordan Reed,,,,
