,,,,,,,,,,,
,PPR Scoring,,,,Week 9,,Peakedinhighskool,,,,Date: Rev1.01
,Tier,Position,Running Back,,Wide Receiver,,Tight End,,Quarterback,,Defense
,1,Value,Player,,Player,,Player,,Player,,Player
,,69.5,Todd Gurley,,,,,,,,
,,66.0,Saquon Barkley,,,,,,,,
,,57.5,Melvin Gordon,,,,,,,,
,,54.0,Alvin Kamara,,Antonio Brown,,,,,,
,,52.0,,,Adam Thielen,,,,,,
,2,46.5,Kareem Hunt,,,,,,,,
,,44.0,Ezekiel Elliott,,,,,,,,
,,44.0,Joe Mixon,,,,,,,,
,,42.0,,,DeAndre Hopkins,,,,,,
,,41.0,,,Davante Adams,,,,,,
,,37.5,James Conner,,Michael Thomas,,,,,,
,,37.0,,,Tyreek Hill,,,,,,
,,37.0,,,A.J. Green,,,,,,
,,36.5,Christian McCaffrey,,,,,,,,
,3,34.0,James White,,,,,,,,
,,33.0,,,Julio Jones,,,,,,
,,33.0,,,Odell Beckham,,,,,,
,,30.0,,,Mike Evans,,,,,,
,,29.0,,,Robert Woods,,Travis Kelce,,,,
,,29.0,,,,,Zach Ertz,,,,
,,27.0,David Johnson,,JuJu Smith-Schuster,,,,,,
,,27.0,,,Stefon Diggs,,,,,,
,,26.0,Mark Ingram,,,,,,,,
,4,25.0,Phillip Lindsay,,,,,,Patrick Mahomes,,
,,24.0,Adrian Peterson,,,,,,,,
,,24.0,Sony Michel,,,,,,,,
,,24.0,Tarik Cohen,,,,,,,,
,,23.0,,,Alshon Jeffery,,,,,,
,,23.0,,,Emmanuel Sanders,,,,,,
,,22.0,Kerryon Johnson,,,,Rob Gronkowski,,,,
,,21.0,,,Brandin Cooks,,,,,,
,,21.0,,,Keenan Allen,,,,,,
,,20.5,Marlon Mack,,T.Y. Hilton,,,,,,
,,20.0,,,Cooper Kupp,,,,,,
,,19.0,Tevin Coleman,,Julian Edelman,,,,,,
,,19.0,,,Tyler Boyd,,,,,,
,,17.5,Nick Chubb,,,,,,,,
,5,17.0,,,Kenny Golladay,,,,Aaron Rodgers,,
,,17.0,,,,,,,Cam Newton,,
,,16.5,Chris Carson,,,,,,,,
,,16.0,,,Jarvis Landry,,George Kittle,,,,
,,15.0,,,John Brown,,Jared Cook,,,,
,,14.0,Jordan Howard,,,,,,,,
,,14.0,Lamar Miller,,,,,,,,
,,13.5,Aaron Jones,,,,,,,,
,,13.5,Kenyan Drake,,,,,,,,
,,13.5,LeSean McCoy,,,,,,,,
,,13.0,Alex Collins,,Josh Gordon,,,,Drew Brees,,
,,13.0,Isaiah Crowell,,Golden Tate,,,,Tom Brady,,
,,13.0,Leonard Fournette,,Marvin Jones,,,,,,
,6,12.0,,,,,Trey Burton,,Andrew Luck,,
,,12.0,,,,,,,Matt Ryan,,
,,11.5,Le'Veon Bell,,,,,,,,
,,11.0,,,DeSean Jackson,,,,Jared Goff,,
,,11.0,,,Tyler Lockett,,,,,,
,,10.5,Matt Breida,,,,,,,,
,,10.0,Dalvin Cook,,,,Jimmy Graham,,,,
,,9.0,,,Doug Baldwin,,,,Carson Wentz,,
,,9.0,,,Michael Crabtree,,,,,,
,,8.5,Dion Lewis,,Sammy Watkins,,,,,,
,,8.0,,,Devin Funchess,,O.J. Howard,,Kirk Cousins,,
,,8.0,,,Courtland Sutton,,David Njoku,,Ben Roethlisberger,,
,,8.0,,,Demaryius Thomas,,,,,,
,7,7.5,Austin Ekeler,,,,,,,,
,,7.5,Royce Freeman,,,,,,,,
,,7.0,,,Allen Robinson,,Eric Ebron,,Deshaun Watson,,
,,7.0,,,Amari Cooper,,,,Philip Rivers,,
,,7.0,,,Calvin Ridley,,,,Russell Wilson,,
,,6.0,Chris Thompson,,Chris Godwin,,,,,,
,,6.0,,,Larry Fitzgerald,,,,,,
,,5.5,Peyton Barber,,Sterling Shepard,,,,,,
,,5.0,Latavius Murray,,Corey Davis,,Greg Olsen,,Mitch Trubisky,,
,,5.0,T.J. Yeldon,,Taylor Gabriel,,,,Andy Dalton,,
,,4.5,Doug Martin,,,,,,,,
,,4.0,Ito Smith,,Marquise Goodwin,,Evan Engram,,,,
,,4.0,Jalen Richard,,Geronimo Allison,,Kyle Rudolph,,,,
,,3.5,Wendell Smallwood,,,,,,,,
,,3.0,,,Christian Kirk,,Austin Hooper,,,,
,,3.0,,,Devante Parker,,Jack Doyle,,Matthew Stafford,,
,,3.0,,,Jordy Nelson,,Jordan Reed,,,,
,,3.0,,,Mohamed Sanu,,,,,,
,,2.5,Duke Johnson,,Tre'Quan Smith,,,,,,
,,2.5,Nyheim Hines,,Keke Coutee,,,,,,
,,2.0,Carlos Hyde,,Mike Williams,,,,Baker Mayfield,,
,,1.5,Corey Clement,,Randall Cobb,,,,,,
,,1.5,Derrick Henry,,,,,,,,
,,1.5,Jamaal Williams,,,,,,,,
