,,,,,,,,,,,
,0.5 PPR Scoring,,,,Week 9,,Peakedinhighskool,,,,Date: Rev1.01
,Tier,Position,Running Back,,Wide Receiver,,Tight End,,Quarterback,,Defense
,1,Value,Player,,Player,,Player,,Player,,Player
,,62.0,Todd Gurley,,,,,,,,
,2,56.0,Saquon Barkley,,,,,,,,
,,51.5,Melvin Gordon,,,,,,,,
,,48.0,Alvin Kamara,,,,,,,,
,,47.0,,,Antonio Brown,,,,,,
,,46.5,Kareem Hunt,,Adam Thielen,,,,,,
,3,43.5,Ezekiel Elliott,,,,,,,,
,,40.5,Joe Mixon,,,,,,,,
,,38.0,,,DeAndre Hopkins,,,,,,
,,38.0,,,Davante Adams,,,,,,
,,33.5,James Conner,,A.J. Green,,,,,,
,,33.0,Christian McCaffrey,,Michael Thomas,,,,,,
,,33.0,,,Odell Beckham,,,,,,
,,33.0,,,Tyreek Hill,,,,,,
,,31.0,,,Julio Jones,,,,,,
,4,28.5,James White,,Mike Evans,,,,,,
,,26.0,,,,,Travis Kelce,,,,
,,25.5,David Johnson,,,,,,,,
,,25.0,,,,,Zach Ertz,,Patrick Mahomes,,
,,24.0,,,JuJu Smith-Schuster,,,,,,
,,24.0,,,Robert Woods,,,,,,
,,24.0,,,Stefon Diggs,,,,,,
,,23.0,Adrian Peterson,,,,,,,,
,,23.0,Mark Ingram,,,,,,,,
,,22.0,Phillip Lindsay,,,,,,,,
,,22.0,Sony Michel,,,,,,,,
,,20.5,Marlon Mack,,Emmanuel Sanders,,,,,,
,,20.0,Kerryon Johnson,,Brandin Cooks,,Rob Gronkowski,,,,
,,20.0,Tarik Cohen,,T.Y. Hilton,,,,,,
,5,20.0,,,Alshon Jeffery,,,,,,
,,19.0,,,Keenan Allen,,,,,,
,,18.0,,,Cooper Kupp,,,,,,
,,18.0,,,Tyler Boyd,,,,,,
,,17.0,Nick Chubb,,,,,,,,
,,17.0,Tevin Coleman,,,,,,Aaron Rodgers,,
,,15.5,Chris Carson,,Julian Edelman,,,,Cam Newton,,
,,15.0,,,Kenny Golladay,,,,,,
,,14.0,,,Jarvis Landry,,,,,,
,,13.5,Jordan Howard,,John Brown,,,,,,
,,13.0,,,,,George Kittle,,Drew Brees,,
,,13.0,,,,,,,Tom Brady,,
,6,12.5,Alex Collins,,,,,,,,
,,12.5,Isaiah Crowell,,,,,,,,
,,12.5,Lamar Miller,,,,,,,,
,,12.5,Leonard Fournette,,,,,,,,
,,12.0,Aaron Jones,,Josh Gordon,,,,Andrew Luck,,
,,12.0,Kenyan Drake,,,,,,Matt Ryan,,
,,11.5,LeSean McCoy,,,,,,,,
,,11.5,Le'Veon Bell,,Golden Tate,,,,,,
,,11.0,,,Marvin Jones,,Jared Cook,,Jared Goff,,
,,10.0,,,Tyler Lockett,,Trey Burton,,,,
,,9.5,Dalvin Cook,,,,,,,,
,,9.0,Matt Breida,,DeSean Jackson,,,,Carson Wentz,,
,7,8.0,,,Courtland Sutton,,Jimmy Graham,,Kirk Cousins,,
,,8.0,,,,,O.J. Howard,,Ben Roethlisberger,,
,,8.0,,,,,David Njoku,,,,
,,7.5,Dion Lewis,,Devin Funchess,,,,Deshaun Watson,,
,,7.0,Royce Freeman,,Doug Baldwin,,,,Philip Rivers,,
,,7.0,,,Michael Crabtree,,,,Russell Wilson,,
,,7.0,,,Sammy Watkins,,,,,,
,,7.0,,,Amari Cooper,,,,,,
,,6.5,Austin Ekeler,,Demaryius Thomas,,,,,,
,,6.0,,,Allen Robinson,,Eric Ebron,,,,
,,6.0,,,Calvin Ridley,,,,,,
,,5.5,Peyton Barber,,Chris Godwin,,,,,,
,,5.0,Chris Thompson,,Sterling Shepard,,Greg Olsen,,Mitch Trubisky,,
,,5.0,Latavius Murray,,Taylor Gabriel,,,,,,
,,5.0,,,Larry Fitzgerald,,,,Andy Dalton,,
,,4.5,Doug Martin,,Corey Davis,,Evan Engram,,,,
,,4.5,T.J. Yeldon,,Marquise Goodwin,,,,,,
,,4.0,Ito Smith,,Geronimo Allison,,,,,,
,,4.0,Jalen Richard,,,,,,,,
,,3.5,Wendell Smallwood,,Christian Kirk,,,,,,
,,3.0,,,Devante Parker,,Austin Hooper,,Matthew Stafford,,
,,3.0,,,Jordy Nelson,,Jack Doyle,,,,
,,3.0,,,Mohamed Sanu,,Kyle Rudolph,,,,
,,3.0,,,Tre'Quan Smith,,Jordan Reed,,,,
,,2.0,Carlos Hyde,,Keke Coutee,,,,,,
,,2.0,Duke Johnson,,Mike Williams,,,,Baker Mayfield,,
,,2.0,Nyheim Hines,,Randall Cobb,,,,,,
,,1.5,Corey Clement,,,,,,,,
,,1.5,Derrick Henry,,,,,,,,
