NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
Matthew Highmore	STL	-140	H	g	0.5	0.0	0 - 0.0	0.0 - 0	0%	0%	0,0	0%	'+500	0
David Gustafsson	WPG	-300	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+340	0
Laurent Dauphin	ARI	'+250	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	11%	'+600	0
Victor Soderstrom	ARI	'+250	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+850	0
Connor Mackey	ARI	'+250	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0	0%	'+1400	0
Patrik Nemeth	ARI	'+250	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	3%	'+2500	0
Cale Fleury	SEA	'+140	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1300	0
Joel Hanley	DAL	-165	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	4%	'+1400	0
Jaycob Megna	SEA	'+140	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0	0%	'+1600	0
Kevin Rooney	CGY	-215	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	7%	'+550	0
Troy Stecher	CGY	-215	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0	0%	'+700	0
Colton White	ANA	'+185	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1100	0
Urho Vaakanainen	ANA	'+185	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1300	0
Nathan Beaulieu	ANA	'+185	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1300	0
Vitali Kravtsov	VAN	'+115	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0	0%	'+380	0
Aatu Raty	VAN	'+115	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0	0%	'+400	0
Jonas Rondbjerg	VGK	-135	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	7%	'+450	0
Christian Wolanin	VAN	'+115	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+600	0
Noah Juulsen	VAN	'+115	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+950	0
