NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
Troy Terry	ANA	'+220	A	sog	2.5	3.06	3.01 - 3.07	3.05 - 3.08	56%	40%	3,1,3,2,1,2,2,6,1,5	59%	-135	-105
Tyler Toffoli	CGY	-175	A	sog	2.5	3.03	2.61 - 3.05	2.36 - 3.56	56%	40%	1,5,0,4,1,4,5,3,0,7	48%	-140	'+100
Chris Kreider	NYR	'+115	A	sog	2.5	3.09	3.63 - 2.36	3.06 - 3.12	55%	40%	0,3,2,6,1,2,2,6,0,5	57%	-125	-115
Evgeni Malkin	PIT	-135	H	sog	2.5	3.03	3.42 - 2.57	2.88 - 3.21	55%	40%	0,1,3,2,5,2,4,5,1,1	50%	-140	'+100
Jacob Trouba	NYR	'+115	A	sog	2.5	2.82	2.49 - 3.12	2.81 - 2.82	55%	40%	3,3,2,1,0,4,3,1,2,0	38%	-115	-115
Erik Karlsson	SJ	'+150	H	sog	2.5	2.91	3.16 - 2.76	2.25 - 3.53	52%	40%	1,3,3,2,1,4,1,3,3,3	44%	-145	'+105
Nikita Kucherov	TB	'+120	A	sog	3.5	3.57	3.64 - 3.59	3.46 - 3.65	50%	40%	3,4,2,4,2,5,2,1,4,3	51%	'+120	-160
Patrik Laine	CBJ	'+155	A	sog	3.5	3.72	3.28 - 3.61	3.67 - 3.78	50%	40%	1,5,2,4,3,6,2,8,5,2	41%	-110	-130
Justin Faulk	STL	'+140	A	sog	2.5	2.56	2.38 - 2.69	2.28 - 2.93	50%	40%	1,0,3,4,2,5,0,3,0,2	43%	'+125	-165
Johnny Gaudreau	CBJ	'+155	A	sog	2.5	2.81	2.85 - 2.58	2.09 - 3.2	48%	40%	1,2,1,3,3,2,3,2,3,2	67%	-145	'+105
Vladimir Tarasenko	STL	'+140	A	sog	2.5	2.53	2.36 - 2.5	2.61 - 2.42	47%	40%	2,1,5,0,4,1,2,1,4,1	53%	-105	-135
Mikael Backlund	CGY	-175	A	sog	2.5	2.72	2.58 - 2.55	2.86 - 2.61	47%	40%	2,1,5,5,1,5,1,0,5,5	45%	'+105	-145
Brady Tkachuk	OTT	'+105	A	sog	4.5	4.42	4.84 - 3.92	4.8 - 4.06	45%	40%	6,4,4,0,5,4,4,3,8,4	28%	'+115	-145
Pierre-Luc Dubois	WPG	-125	H	sog	2.5	2.52	2.68 - 2.19	2.47 - 2.56	45%	40%	1,0,3,1,3,1,2,2,0,4	49%	-130	-110
Elias Lindholm	CGY	-175	A	sog	2.5	2.45	2.77 - 2.17	2.31 - 2.56	45%	40%	3,4,2,0,2,1,4,4,4,2	45%	-105	-135
Trevor Zegras	ANA	'+220	A	sog	2.5	2.28	1.74 - 2.38	1.85 - 3.0	44%	40%	0,3,1,0,5,4,2,3,1,1	50%	'+115	-155
Travis Konecny	PHI	-180	H	sog	3.5	3.31	2.79 - 3.43	3.62 - 3.0	42%	40%	3,6,3,6,3,3,1,2,3,1	42%	'+110	-150
Kyle Connor	WPG	-125	H	sog	3.5	3.55	3.4 - 3.32	2.87 - 4.19	42%	40%	2,1,11,5,1,2,2,6,1,6	54%	'+100	-140
Thomas Chabot	OTT	'+105	A	sog	2.5	2.46	3.03 - 1.9	2.23 - 2.69	42%	40%	2,4,2,2,3,4,3,5,2,0	66%	'+105	-135
Jake Guentzel	PIT	-135	H	sog	3.5	3.15	3.39 - 2.45	2.85 - 3.43	41%	40%	1,8,1,2,4,5,2,5,4,1	44%	'+105	-145
Jesper Bratt	NJ	'+105	A	sog	2.5	2.42	2.21 - 2.79	2.46 - 2.39	39%	40%	2,4,5,2,1,2,1,1,1,1	47%	'+120	-160
Arthur Kaliyev	LA	-260	H	sog	2.5	2.33	1.91 - 2.68	2.28 - 2.4	39%	40%	3,1,3,1,2,6,1,4,4,2	36%	'+115	-145
Andrew Mangiapane	CGY	-175	A	sog	2.5	1.88	1.89 - 1.73	1.64 - 2.06	38%	40%	0,3,1,3,2,1,1,1,4,3	37%	'+145	-190
Victor Hedman	TB	'+120	A	sog	2.5	2.07	2.12 - 1.97	2.38 - 1.8	36%	40%	4,1,1,1,3,3,2,1,2,2	57%	'+105	-145
Alex Iafallo	LA	-260	H	sog	2.5	1.91	1.41 - 2.37	1.88 - 2.0	36%	40%	2,3,3,2,2,3,0,0,2,3	43%	-105	-135
Rickard Rakell	PIT	-135	H	sog	3.5	3.16	2.81 - 3.53	2.82 - 3.57	35%	40%	5,4,2,2,2,3,5,4,3,6	26%	'+125	-165
Jared Mccann	SEA	-165	H	sog	2.5	1.94	2.07 - 1.64	1.88 - 2.0	33%	40%	3,1,3,0,1,5,2,2,3,2	52%	-110	-130
Mika Zibanejad	NYR	'+115	A	sog	3.5	3.85	3.84 - 3.4	4.06 - 3.65	58%	20%	0,3,1,3,6,4,0,4,5,4	33%	'+110	-150
Brent Burns	CAR	-125	H	sog	2.5	3.32	3.09 - 3.42	2.95 - 3.92	55%	20%	2,5,2,1,2,1,1,2,4,1	43%	-165	'+125
Timo Meier	SJ	'+150	H	sog	4.5	4.61	4.25 - 4.46	3.88 - 5.29	52%	20%	4,7,4,1,4,1,6,3,3,4	38%	'+120	-160
Noah Hanifin	CGY	-175	A	sog	2.5	2.35	2.12 - 2.4	2.21 - 2.47	48%	20%	0,1,2,1,3,2,1,2,3,3	44%	'+135	-175
Josh Morrissey	WPG	-125	H	sog	1.5	1.55	1.59 - 1.45	1.33 - 1.75	42%	20%	1,1,1,1,2,0,0,2,2,0	62%	-140	'+100
John Tavares	TOR	-140	H	sog	3.5	3.34	3.72 - 2.68	3.25 - 3.44	38%	20%	3,1,6,3,2,5,3,5,4,3	29%	'+130	-170
Kris Letang	PIT	-135	H	sog	2.5	2.0	2.03 - 1.94	1.88 - 2.22	32%	20%	2,3,1,0,1,2,3,1,3,3	55%	'+110	-150
Logan Couture	SJ	'+150	H	sog	2.5	2.21	1.99 - 2.19	1.94 - 2.47	30%	20%	1,0,0,5,2,2,5,2,2,3	46%	'+110	-150
Vincent Trocheck	NYR	'+115	A	sog	2.5	3.09	3.06 - 3.08	3.25 - 2.94	58%	0%	2,1,0,1,2,4,3,4,1,5	41%	-125	-115
Andre Burakovsky	SEA	-165	H	sog	2.5	2.5	2.8 - 1.99	2.71 - 2.31	43%	0%	1,1,2,2,0,3,3,3,4,1	29%	'+110	-150
Bryan Rust	PIT	-135	H	sog	2.5	2.58	2.48 - 2.55	1.88 - 3.43	42%	0%	0,2,2,2,1,1,5,6,3,2	54%	-115	-125
