NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
Cale Makar	COL	-425	H	g	0.5	0.29	0.41 - 0.15	0.22 - 0.36	25%	0,1,0,0,1,0,1,0,0,0	32%	'+220	0
Casey Cizikas	NYI	-240	A	g	0.5	0.07	0.1 - 0.03	0.08 - 0.06	7%	0,0,0,0,0,0,1,0,0,0	14%	'+475	0
Casey Mittelstadt	BUF	'+155	H	pts	0.5	0.6	0.72 - 0.51	0.59 - 0.61	44%	0,0,2,0,0,0,0,0,1,1	38%	'+135	-165
Casey Mittelstadt	BUF	'+155	H	ast	0.5	0.46	0.6 - 0.35	0.44 - 0.47	34%	0,0,2,0,0,0,0,0,1,1	28%	'+200	-250
Casey Mittelstadt	BUF	'+155	H	g	0.5	0.14	0.12 - 0.16	0.15 - 0.14	13%	0,0,0,0,0,0,0,0,0,0	15%	'+360	0
Christian Fischer	ARI	'+340	A	g	0.5	0.16	0.11 - 0.17	0.18 - 0.12	14%	0,0,0,0,0,0,0,1,0,0	10%	'+600	0
Clayton Keller	ARI	'+340	A	sog	2.5	2.58	2.53 - 2.43	2.29 - 2.91	47%	4,8,3,1,4,3,2,7,1,3	46%	-120	-110
Clayton Keller	ARI	'+340	A	pts	0.5	1.08	1.62 - 0.71	1.03 - 1.15	68%	2,1,3,1,2,3,1,2,3,1	63%	-195	'+160
Clayton Keller	ARI	'+340	A	ast	0.5	0.61	1.04 - 0.35	0.58 - 0.65	49%	0,1,2,1,0,1,0,2,2,1	44%	'+105	-135
Clayton Keller	ARI	'+340	A	g	0.5	0.47	0.58 - 0.36	0.45 - 0.5	33%	2,0,1,0,2,2,1,0,1,0	38%	'+220	0
Connor Mackey	ARI	'+340	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1600	0
Curtis Lazar	NJ	-180	A	g	0.5	0.0	0 - 0.0	0.0 - 0.0	0%	0,0,0	0%	'+500	0
Damon Severson	NJ	-180	A	g	0.5	0.09	0.07 - 0.1	0.09 - 0.09	9%	0,0,0,0,1,0,0,0,0,1	13%	'+700	0
Darren Helm	COL	-425	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0	11%	'+370	0
Dawson Mercer	NJ	-180	A	sog	1.5	1.99	1.74 - 2.23	2.31 - 1.67	48%	1,1,3,2,2,1,4,3,0,4	56%	-190	'+155
Dawson Mercer	NJ	-180	A	pts	0.5	0.7	0.81 - 0.41	0.89 - 0.53	49%	0,0,0,1,0,0,1,2,1,1	39%	-140	'+110
Dawson Mercer	NJ	-180	A	ast	0.5	0.39	0.46 - 0.2	0.54 - 0.25	32%	0,0,0,1,0,0,1,1,1,1	25%	'+140	-175
Dawson Mercer	NJ	-180	A	g	0.5	0.31	0.34 - 0.2	0.34 - 0.28	27%	0,0,0,0,0,0,0,1,0,0	21%	'+195	0
Denis Malgin	COL	-425	H	g	0.5	0.26	0.37 - 0.23	0.07 - 0.41	23%	0,2,0,0,0,0,1,0,1,1	0%	'+205	0
Devon Toews	COL	-425	H	pts	0.5	0.56	0.75 - 0.34	0.58 - 0.54	44%	1,0,1,0,0,2,0,0,2,0	58%	-120	-110
Devon Toews	COL	-425	H	ast	0.5	0.47	0.65 - 0.27	0.48 - 0.46	37%	0,0,0,0,0,2,0,0,2,0	43%	'+125	-155
Devon Toews	COL	-425	H	g	0.5	0.09	0.1 - 0.07	0.09 - 0.09	9%	1,0,1,0,0,0,0,0,0,0	22%	'+370	0
Dougie Hamilton	NJ	-180	A	sog	2.5	3.44	3.55 - 3.24	3.2 - 3.67	62%	9,2,5,5,2,0,2,1,2,4	69%	-160	'+130
Dougie Hamilton	NJ	-180	A	pts	0.5	0.93	1.1 - 0.67	0.83 - 1.03	62%	0,2,0,1,0,1,1,0,0,2	41%	-145	'+115
Dougie Hamilton	NJ	-180	A	ast	0.5	0.68	0.72 - 0.6	0.66 - 0.69	51%	0,2,0,1,0,1,1,0,0,2	30%	'+100	-130
Dougie Hamilton	NJ	-180	A	g	0.5	0.25	0.38 - 0.07	0.17 - 0.33	23%	0,0,0,0,0,0,0,0,0,0	15%	'+235	0
Dylan Cozens	BUF	'+155	H	sog	2.5	2.58	2.93 - 2.15	2.45 - 2.69	46%	2,0,3,2,4,3,1,4,6,5	32%	'+120	-150
Dylan Cozens	BUF	'+155	H	pts	0.5	0.84	1.15 - 0.49	0.79 - 0.89	57%	1,0,0,0,2,0,0,1,1,1	33%	'+100	-130
Dylan Cozens	BUF	'+155	H	ast	0.5	0.45	0.57 - 0.29	0.36 - 0.53	32%	0,0,0,0,1,0,0,0,0,1	22%	'+210	-265
Dylan Cozens	BUF	'+155	H	g	0.5	0.39	0.58 - 0.21	0.42 - 0.36	35%	1,0,0,0,1,0,0,1,1,0	15%	'+220	0
Emil Bemstrom	CBJ	'+200	H	g	0.5	0.14	0.12 - 0.12	0.18 - 0.1	14%	1,0,0,0,0,0,1,0,0,0	15%	'+400	0
Eric Robinson	CBJ	'+200	H	g	0.5	0.14	0.37 - 0.02	0.19 - 0.09	11%	1,0,0,0,0,0,0,0,0,3	13%	'+475	0
Erik Gudbranson	CBJ	'+200	H	g	0.5	0.01	0.04 - 0.0	0.03 - 0.0	1%	0,0,0,0,0,0,0,0,0,0	7%	'+1100	0
Erik Haula	NJ	-180	A	pts	0.5	0.44	0.44 - 0.39	0.46 - 0.42	35%	0,0,0,0,0,0,0,1,3,2	41%	'+105	-135
Erik Haula	NJ	-180	A	ast	0.5	0.32	0.37 - 0.2	0.31 - 0.33	28%	0,0,0,0,0,0,0,0,1,2	23%	'+185	-230
Erik Haula	NJ	-180	A	g	0.5	0.11	0.07 - 0.19	0.14 - 0.08	10%	0,0,0,0,0,0,0,1,2,0	19%	'+380	0
Gavin Bayreuther	CBJ	'+200	H	g	0.5	0.05	0.0 - 0.06	0.05 - 0.05	5%	0,0,0,0,0,0,0,0,0,0	0%	'+1300	0
Henri Jokiharju	BUF	'+155	H	g	0.5	0.02	0.04 - 0.0	0.04 - 0.0	2%	0,0,0,0,0,0,0,0,0,0	5%	'+950	0
Hudson Fasching	NYI	-240	A	g	0.5	0.18	0.24 - 0.1	0.17 - 0.19	18%	1,0,1,0,0,1,1,0,0,0	0%	'+350	0
Ilya Lyubushkin	BUF	'+155	H	g	0.5	0.04	0.05 - 0.03	0.07 - 0.0	4%	0,0,0,1,0,0,0,0,0,0	3%	'+1500	0
Jack Hughes	NJ	-180	A	sog	3.5	4.48	4.34 - 4.61	4.41 - 4.54	66%	10,3,4,6,2,4,0,5,6,3	46%	-165	'+135
Jack Hughes	NJ	-180	A	pts	1.5	1.21	1.51 - 0.77	1.12 - 1.29	40%	0,0,0,1,1,3,0,0,0,1	34%	'+120	-150
Jack Hughes	NJ	-180	A	ast	0.5	0.66	0.81 - 0.43	0.53 - 0.77	48%	0,0,0,1,1,2,0,0,0,1	44%	-150	'+120
Jack Hughes	NJ	-180	A	g	0.5	0.55	0.71 - 0.34	0.59 - 0.51	42%	0,0,0,0,0,1,0,0,0,0	46%	-110	0
Jack Johnson	COL	-425	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1200	0
Jack Mcbain	ARI	'+340	A	g	0.5	0.16	0.3 - 0.07	0.09 - 0.22	14%	0,0,0,0,0,0,1,1,0,1	20%	'+450	0
Jack Quinn	BUF	'+155	H	g	0.5	0.21	0.26 - 0.12	0.13 - 0.28	17%	0,0,0,0,1,0,0,0,0,1	50%	'+320	0
Jack Roslovic	CBJ	'+200	H	pts	0.5	0.57	1.14 - 0.31	0.49 - 0.66	40%	2,0,0,0,0,0,1,1,0,0	41%	'+120	-150
Jack Roslovic	CBJ	'+200	H	ast	0.5	0.43	0.84 - 0.25	0.4 - 0.47	36%	0,0,0,0,0,0,1,0,0,0	27%	'+190	-235
Jack Roslovic	CBJ	'+200	H	g	0.5	0.13	0.3 - 0.06	0.09 - 0.19	9%	2,0,0,0,0,0,0,1,0,0	19%	'+350	0
Jacob Bryson	BUF	'+155	H	g	0.5	0.02	0.0 - 0.02	0.04 - 0.0	2%	0,0,0,0,0,0,0,0,0,0	1%	'+1500	0
Janis Moser	ARI	'+340	A	g	0.5	0.08	0.08 - 0.08	0.11 - 0.06	8%	1,0,0,0,0,0,0,0,0,0	7%	'+700	0
Jean-Gabriel Pageau	NYI	-240	A	pts	0.5	0.58	0.91 - 0.25	0.48 - 0.69	43%	2,2,1,1,0,0,2,0,0,0	43%	'+110	-140
Jean-Gabriel Pageau	NYI	-240	A	ast	0.5	0.38	0.61 - 0.13	0.23 - 0.55	32%	2,1,1,0,0,0,2,0,0,0	28%	'+205	-255
Jean-Gabriel Pageau	NYI	-240	A	g	0.5	0.2	0.3 - 0.11	0.26 - 0.14	17%	0,1,0,1,0,0,0,0,0,0	22%	'+290	0
Jeff Skinner	BUF	'+155	H	sog	2.5	2.91	2.79 - 2.88	2.59 - 3.2	54%	3,2,4,2,2,3,2,1,7,1	60%	-130	'+100
Jeff Skinner	BUF	'+155	H	pts	0.5	1.01	1.65 - 0.51	1.06 - 0.97	64%	1,0,0,0,1,1,2,0,1,2	48%	-145	'+115
Jeff Skinner	BUF	'+155	H	ast	0.5	0.57	1.03 - 0.21	0.69 - 0.46	39%	0,0,0,0,1,0,1,0,0,1	30%	'+160	-195
Jeff Skinner	BUF	'+155	H	g	0.5	0.45	0.62 - 0.3	0.38 - 0.51	37%	1,0,0,0,0,1,1,0,1,1	27%	'+175	0
Jesper Boqvist	NJ	-180	A	g	0.5	0.13	0.18 - 0.04	0.23 - 0.03	11%	0,0,1,0,0,0,0,0,0,2	18%	'+400	0
Jesper Bratt	NJ	-180	A	sog	2.5	2.61	2.57 - 2.51	2.54 - 2.67	42%	2,5,3,2,2,5,2,3,2,2	47%	-105	-125
Jesper Bratt	NJ	-180	A	pts	0.5	0.9	1.08 - 0.62	0.97 - 0.83	65%	1,3,0,0,0,2,0,0,0,0	67%	-145	'+115
Jesper Bratt	NJ	-180	A	ast	0.5	0.48	0.53 - 0.35	0.49 - 0.47	39%	1,0,0,0,0,0,0,0,0,0	53%	'+170	-210
Jesper Bratt	NJ	-180	A	g	0.5	0.42	0.55 - 0.26	0.49 - 0.36	32%	0,3,0,0,0,2,0,0,0,0	29%	'+165	0
John Marino	NJ	-180	A	g	0.5	0.07	0.09 - 0.05	0.04 - 0.1	7%	0,0,0,0,0,0,0,0,0,0	1%	'+600	0
John-Jason Peterka	BUF	'+155	H	g	0.5	0.14	0.16 - 0.09	0.1 - 0.18	14%	0,0,1,0,0,0,0,0,0,1	0%	'+425	0
Johnny Gaudreau	CBJ	'+200	H	sog	2.5	2.65	2.68 - 2.54	2.39 - 2.89	49%	3,4,4,4,6,1,2,2,4,1	67%	-160	'+130
Johnny Gaudreau	CBJ	'+200	H	pts	0.5	0.96	1.68 - 0.59	0.76 - 1.14	60%	2,0,1,0,5,2,0,0,1,0	78%	-190	'+155
Johnny Gaudreau	CBJ	'+200	H	ast	0.5	0.71	1.26 - 0.43	0.67 - 0.74	49%	2,0,1,0,3,2,0,0,1,0	62%	-115	-115
Johnny Gaudreau	CBJ	'+200	H	g	0.5	0.25	0.42 - 0.16	0.09 - 0.4	22%	0,0,0,0,2,0,0,0,0,0	36%	'+250	0
Jonas Siegenthaler	NJ	-180	A	g	0.5	0.04	0.07 - 0.0	0.03 - 0.06	4%	0,0,0,0,0,0,0,0,0,0	2%	'+1000	0
Jordan Greenway	BUF	'+155	H	g	0.5	0.12	0.0 - 0.13	0.0 - 0.25	12%	0,0,0,0,0,1,0,0	0%	'+360	0
Josh Bailey	NYI	-240	A	g	0.5	0.13	0.2 - 0.07	0.18 - 0.09	13%	0,0,0,1,0,1,0,0,0,0	17%	'+350	0
Josh Brown	ARI	'+340	A	g	0.5	0.07	0.07 - 0.04	0.1 - 0.03	7%	0,0,0,0,0,0,0,0,1,0	0%	'+1600	0
Josh Manson	COL	-425	H	g	0.5	0.07	0.12 - 0.0	0.07 - 0.08	7%	0,0,0,0,0,0,0,0,1,0	11%	'+600	0
Jt Compher	COL	-425	H	sog	2.5	1.93	1.67 - 2.16	1.76 - 2.08	34%	3,1,0,0,1,4,3,2,0,3	22%	'+130	-160
Jt Compher	COL	-425	H	pts	0.5	0.67	0.85 - 0.39	0.68 - 0.67	41%	2,1,1,0,0,1,0,0,0,0	33%	-175	'+140
Jt Compher	COL	-425	H	ast	0.5	0.46	0.61 - 0.24	0.53 - 0.39	33%	1,1,1,0,0,0,0,0,0,0	17%	'+100	-130
Jt Compher	COL	-425	H	g	0.5	0.21	0.24 - 0.15	0.15 - 0.28	20%	1,0,0,0,0,1,0,0,0,0	22%	'+220	0
Juuso Valimaki	ARI	'+340	A	sog	1.5	1.18	1.18 - 1.09	1.03 - 1.32	31%	2,1,4,4,2,2,2,1,1,1	44%	-105	-125
Juuso Valimaki	ARI	'+340	A	pts	0.5	0.46	0.43 - 0.39	0.44 - 0.47	32%	0,0,3,0,2,2,0,0,0,2	22%	'+160	-195
Juuso Valimaki	ARI	'+340	A	ast	0.5	0.41	0.4 - 0.33	0.41 - 0.41	29%	0,0,2,0,2,2,0,0,0,2	22%	'+215	-270
Juuso Valimaki	ARI	'+340	A	g	0.5	0.04	0.03 - 0.06	0.03 - 0.06	4%	0,0,1,0,0,0,0,0,0,0	0%	'+800	0
