NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
Nick Schmaltz	ARI	'+340	A	g	0.5	0.4	0.7 - 0.23	0.23 - 0.56	36%	0,0,0,0,1,1,1,0,0,1	27%	'+240	0
Nico Hischier	NJ	-180	A	sog	2.5	3.21	2.99 - 3.48	3.06 - 3.36	61%	3,1,4,6,3,1,2,5,1,5	37%	-150	'+120
Nico Hischier	NJ	-180	A	pts	0.5	0.96	1.21 - 0.49	1.0 - 0.92	67%	1,2,1,2,0,0,2,1,0,1	62%	-220	'+180
Nico Hischier	NJ	-180	A	ast	0.5	0.53	0.7 - 0.22	0.5 - 0.56	44%	1,1,0,2,0,0,1,1,0,0	45%	-110	-120
Nico Hischier	NJ	-180	A	g	0.5	0.43	0.52 - 0.27	0.5 - 0.36	40%	0,1,1,0,0,0,1,0,0,1	25%	'+155	0
Noah Dobson	NYI	-240	A	sog	2.5	2.75	2.69 - 2.63	2.21 - 3.29	49%	5,1,2,3,3,2,4,0,4,2	37%	-120	-110
Noah Dobson	NYI	-240	A	pts	0.5	0.62	0.71 - 0.5	0.62 - 0.62	49%	2,1,1,0,0,1,0,1,0,0	53%	-110	-120
Noah Dobson	NYI	-240	A	ast	0.5	0.43	0.54 - 0.31	0.47 - 0.38	38%	1,1,1,0,0,1,0,1,0,0	41%	'+135	-165
Noah Dobson	NYI	-240	A	g	0.5	0.19	0.17 - 0.19	0.15 - 0.24	19%	1,0,0,0,0,0,0,0,0,0	17%	'+290	0
Ondrej Palat	NJ	-180	A	g	0.5	0.21	0.26 - 0.07	0.15 - 0.26	15%	0,0,0,0,0,0,0,0,1,0	25%	'+250	0
Owen Power	BUF	'+155	H	g	0.5	0.06	0.14 - 0.0	0.13 - 0.0	6%	0,0,0,0,0,0,0,0,0,0	25%	'+700	0
Patrik Laine	CBJ	'+200	H	sog	3.5	3.35	3.19 - 3.3	3.69 - 2.87	42%	2,3,8,3,6,4,4,4,2,0	41%	'+115	-145
Patrik Laine	CBJ	'+200	H	pts	0.5	0.95	1.53 - 0.76	0.97 - 0.91	58%	2,2,2,0,2,1,1,1,2,1	64%	-175	'+140
Patrik Laine	CBJ	'+200	H	ast	0.5	0.55	0.86 - 0.42	0.56 - 0.52	42%	2,2,1,0,2,0,0,0,1,1	39%	'+130	-160
Patrik Laine	CBJ	'+200	H	g	0.5	0.4	0.67 - 0.34	0.41 - 0.39	33%	0,0,1,0,0,1,1,1,1,0	36%	'+165	0
Patrik Nemeth	ARI	'+340	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	3%	'+2500	0
Peyton Krebs	BUF	'+155	H	g	0.5	0.13	0.17 - 0.08	0.17 - 0.09	11%	0,0,0,0,0,0,0,0,0,0	9%	'+500	0
Pierre Engvall	NYI	-240	A	g	0.5	0.38	0.15 - 0.97	0.5 - 0.25	38%	0,0,1,1,1,0,0,0	0%	'+240	0
Rasmus Dahlin	BUF	'+155	H	sog	2.5	2.77	2.66 - 2.74	2.56 - 2.97	55%	2,7,3,0,1,2,4,0,3,0	36%	'+120	-150
Rasmus Dahlin	BUF	'+155	H	pts	0.5	0.97	1.5 - 0.48	1.0 - 0.94	62%	1,0,0,0,0,0,0,0,0,1	45%	-150	'+120
Rasmus Dahlin	BUF	'+155	H	ast	0.5	0.76	1.15 - 0.39	0.75 - 0.76	56%	1,0,0,0,0,0,0,0,0,1	39%	-120	-110
Rasmus Dahlin	BUF	'+155	H	g	0.5	0.21	0.35 - 0.08	0.25 - 0.18	20%	0,0,0,0,0,0,0,0,0,0	16%	'+390	0
Riley Stillman	BUF	'+155	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0	0%	'+1200	0
Ross Johnston	NYI	-240	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	7%	'+700	0
Ryan Graves	NJ	-180	A	g	0.5	0.09	0.12 - 0.0	0.12 - 0.06	9%	0,0,0,0,0,0,0,0,0,0	9%	'+600	0
Ryan Pulock	NYI	-240	A	g	0.5	0.06	0.05 - 0.06	0.06 - 0.06	6%	0,1,0,0,0,0,0,0,0,0	9%	'+550	0
Samuel Bolduc	NYI	-240	A	g	0.5	0.14	0.2 - 0.0	0.0 - 0.2	14%	0,0,1,0,0,0,0	0%	'+600	0
Samuel Girard	COL	-425	H	g	0.5	0.08	0.06 - 0.11	0.13 - 0.03	8%	0,0,0,0,0,0,0,0,0,0	6%	'+600	0
Scott Mayfield	NYI	-240	A	g	0.5	0.07	0.12 - 0.03	0.0 - 0.14	6%	0,0,0,0,0,0,0,0,0,0	4%	'+600	0
Simon Holmstrom	NYI	-240	A	g	0.5	0.12	0.17 - 0.04	0.06 - 0.17	12%	1,0,0,0,0,0,0,0,0,0	0%	'+450	0
Tage Thompson	BUF	'+155	H	sog	3.5	3.76	4.04 - 3.29	3.94 - 3.58	44%	3,2,2,5,7,2,2,3,2,1	42%	'+105	-135
Tage Thompson	BUF	'+155	H	pts	0.5	1.26	1.98 - 0.62	1.32 - 1.19	69%	1,0,0,0,1,1,2,0,1,2	59%	-195	'+160
Tage Thompson	BUF	'+155	H	ast	0.5	0.64	0.97 - 0.33	0.68 - 0.61	47%	0,0,0,0,1,1,2,0,1,1	29%	'+120	-150
Tage Thompson	BUF	'+155	H	g	0.5	0.61	1.01 - 0.29	0.65 - 0.58	43%	1,0,0,0,0,0,0,0,0,1	38%	'+115	0
Tim Berni	CBJ	'+200	H	g	0.5	0.02	0.0 - 0.03	0.04 - 0.0	2%	0,0,0,0,0,0,0,0,0,0	0%	'+1100	0
Timo Meier	NJ	-180	A	sog	3.5	4.37	4.15 - 4.24	3.94 - 4.87	66%	6,4,5,4,1,4,2,6,4,3	62%	-155	'+125
Timo Meier	NJ	-180	A	pts	0.5	0.87	0.9 - 0.8	0.83 - 0.9	60%	1,1,0,2,1,0,0,0,0,1	62%	-190	'+155
Timo Meier	NJ	-180	A	ast	0.5	0.34	0.41 - 0.3	0.31 - 0.39	33%	0,1,0,0,1,0,0,0,0,0	41%	'+155	-190
Timo Meier	NJ	-180	A	g	0.5	0.52	0.48 - 0.5	0.53 - 0.52	42%	1,0,0,2,0,0,0,0,0,1	35%	-110	0
Tomas Tatar	NJ	-180	A	g	0.5	0.23	0.21 - 0.22	0.23 - 0.22	21%	0,0,0,1,0,0,1,0,0,0	18%	'+290	0
Travis Boyd	ARI	'+340	A	pts	0.5	0.42	0.74 - 0.24	0.42 - 0.41	36%	0,0,1,2,1,1,0,1,2,0	39%	'+165	-205
Travis Boyd	ARI	'+340	A	ast	0.5	0.22	0.32 - 0.17	0.32 - 0.12	22%	0,0,1,0,0,1,0,1,0,0	20%	'+310	-410
Travis Boyd	ARI	'+340	A	g	0.5	0.19	0.42 - 0.07	0.11 - 0.29	17%	0,0,0,2,1,0,0,0,2,0	23%	'+550	0
Tyson Jost	BUF	'+155	H	g	0.5	0.14	0.15 - 0.12	0.16 - 0.12	14%	0,1,0,0,0,0,1,0,0,0	11%	'+500	0
Ukko-Pekka Luukkonen	BUF	'+155	H	sv	31.5	28.19	31.11 - 27.07	31.93 - 25.12	42%	6,18,35,24,36,35,26,6,33,33	44%	-105	-125
Valeri Nichushkin	COL	-425	H	sog	2.5	2.8	2.59 - 2.82	3.11 - 2.55	56%	3,0,2,2,4,2,4,2,1,3	63%	-150	'+120
Valeri Nichushkin	COL	-425	H	pts	0.5	0.95	0.96 - 0.93	0.79 - 1.09	63%	1,1,1,1,0,3,0,0,4,1	57%	-220	'+180
Valeri Nichushkin	COL	-425	H	ast	0.5	0.61	0.59 - 0.7	0.37 - 0.82	44%	1,1,1,0,0,2,0,0,3,1	33%	-105	-125
Valeri Nichushkin	COL	-425	H	g	0.5	0.34	0.37 - 0.22	0.42 - 0.27	32%	0,0,0,1,0,1,0,0,1,0	33%	'+135	0
Victor Olofsson	BUF	'+155	H	sog	1.5	2.19	2.01 - 2.17	1.78 - 2.56	63%	2,1,4,2,1,2,3,3,2,2	64%	-190	'+155
Victor Olofsson	BUF	'+155	H	g	0.5	0.38	0.53 - 0.22	0.28 - 0.47	28%	0,0,2,0,1,0,0,0,0,0	23%	'+260	0
Victor Soderstrom	ARI	'+340	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1000	0
Yegor Sharangovich	NJ	-180	A	g	0.5	0.18	0.25 - 0.09	0.28 - 0.09	17%	0,0,0,0,0,0,0,0,0,0	24%	'+235	0
Zach Parise	NYI	-240	A	g	0.5	0.26	0.43 - 0.09	0.17 - 0.36	25%	1,1,1,0,0,0,0,1,0,0	16%	'+265	0
Zack Kassian	ARI	'+340	A	g	0.5	0.04	0.05 - 0.04	0.04 - 0.04	4%	0,0,0,0,0,0,0,1,0,0	9%	'+1000	0
Zemgus Girgensons	BUF	'+155	H	g	0.5	0.13	0.11 - 0.12	0.22 - 0.06	13%	0,0,0,1,0,0,0,0,0,0	15%	'+650	0
